Fechas,Variable,Valores,Periodicidad,Sector
2000-01-01,1. BIENES,80526.7,Mes,Externo
2000-01-01,    EXPORTACIONES DE MERCANCÍAS,22243.9,Mes,Externo
2000-01-01,      ANTICIPOS POR EXPORTACIONES,30153.4,Mes,Externo
2000-01-01,      PROCESAMIENTO Y MAQUILADO,28129.4,Mes,Externo
2000-01-01,2. SERVICIOS,40618.9,Mes,Externo
2000-01-01,     TRANSPORTE,480.6,Mes,Externo
2000-01-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),322.9,Mes,Externo
2000-01-01,     GASTOS DE VIAJERO,8689.6,Mes,Externo
2000-01-01,     SERVICIOS DEL GOBIERNO,8464.2,Mes,Externo
2000-01-01,     OTROS SERVICIOS,22661.6,Mes,Externo
2000-01-01,          FINANCIEROS,0.0,Mes,Externo
2000-01-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-01-01,          OTROS,22661.6,Mes,Externo
2000-01-01,3. RENTA DE LA INVERSIÓN,7175.6,Mes,Externo
2000-01-01,4. TRANSFERENCIAS,23165.9,Mes,Externo
2000-01-01,     REMESAS FAMILIARES,20135.5,Mes,Externo
2000-01-01,     OTRAS,3030.4,Mes,Externo
2000-01-01,5. MOVIMIENTOS DE CAPITAL,61338.700000000004,Mes,Externo
2000-01-01,     INVERSIÓN EXTRANJERA,123.3,Mes,Externo
2000-01-01,          INVERSIÓN DIRECTA,0.0,Mes,Externo
2000-01-01,          INVERSIÓN DE CARTERA,123.3,Mes,Externo
2000-01-01,     PRÉSTAMOS,50566.0,Mes,Externo
2000-01-01,           PÚBLICO,4244.7,Mes,Externo
2000-01-01,           PRIVADO,38354.0,Mes,Externo
2000-01-01,           BANCARIO,7967.3,Mes,Externo
2000-01-01,    OTRAS ENTRADAS DE CAPITAL,10649.4,Mes,Externo
2000-01-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-01-01,    TOTAL INGRESOS,212825.80000000002,Mes,Externo
2000-02-01,1. BIENES,87348.1,Mes,Externo
2000-02-01,    EXPORTACIONES DE MERCANCÍAS,21658.5,Mes,Externo
2000-02-01,      ANTICIPOS POR EXPORTACIONES,35215.3,Mes,Externo
2000-02-01,      PROCESAMIENTO Y MAQUILADO,30474.3,Mes,Externo
2000-02-01,2. SERVICIOS,41973.9,Mes,Externo
2000-02-01,     TRANSPORTE,522.5,Mes,Externo
2000-02-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),547.6,Mes,Externo
2000-02-01,     GASTOS DE VIAJERO,11037.2,Mes,Externo
2000-02-01,     SERVICIOS DEL GOBIERNO,7630.3,Mes,Externo
2000-02-01,     OTROS SERVICIOS,22236.3,Mes,Externo
2000-02-01,          FINANCIEROS,0.0,Mes,Externo
2000-02-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-02-01,          OTROS,22236.3,Mes,Externo
2000-02-01,3. RENTA DE LA INVERSIÓN,5720.9,Mes,Externo
2000-02-01,4. TRANSFERENCIAS,29676.3,Mes,Externo
2000-02-01,     REMESAS FAMILIARES,27312.4,Mes,Externo
2000-02-01,     OTRAS,2363.9,Mes,Externo
2000-02-01,5. MOVIMIENTOS DE CAPITAL,77967.3,Mes,Externo
2000-02-01,     INVERSIÓN EXTRANJERA,533.1,Mes,Externo
2000-02-01,          INVERSIÓN DIRECTA,0.0,Mes,Externo
2000-02-01,          INVERSIÓN DE CARTERA,533.1,Mes,Externo
2000-02-01,     PRÉSTAMOS,62479.0,Mes,Externo
2000-02-01,           PÚBLICO,13775.6,Mes,Externo
2000-02-01,           PRIVADO,33647.1,Mes,Externo
2000-02-01,           BANCARIO,15056.3,Mes,Externo
2000-02-01,    OTRAS ENTRADAS DE CAPITAL,14955.2,Mes,Externo
2000-02-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-02-01,    TOTAL INGRESOS,242686.5,Mes,Externo
2000-03-01,1. BIENES,91479.3,Mes,Externo
2000-03-01,    EXPORTACIONES DE MERCANCÍAS,23681.7,Mes,Externo
2000-03-01,      ANTICIPOS POR EXPORTACIONES,33196.0,Mes,Externo
2000-03-01,      PROCESAMIENTO Y MAQUILADO,34601.6,Mes,Externo
2000-03-01,2. SERVICIOS,46225.3,Mes,Externo
2000-03-01,     TRANSPORTE,695.9,Mes,Externo
2000-03-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),206.3,Mes,Externo
2000-03-01,     GASTOS DE VIAJERO,14218.8,Mes,Externo
2000-03-01,     SERVICIOS DEL GOBIERNO,8148.7,Mes,Externo
2000-03-01,     OTROS SERVICIOS,22955.6,Mes,Externo
2000-03-01,          FINANCIEROS,0.0,Mes,Externo
2000-03-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-03-01,          OTROS,22955.6,Mes,Externo
2000-03-01,3. RENTA DE LA INVERSIÓN,7927.5,Mes,Externo
2000-03-01,4. TRANSFERENCIAS,33541.2,Mes,Externo
2000-03-01,     REMESAS FAMILIARES,29644.3,Mes,Externo
2000-03-01,     OTRAS,3896.9,Mes,Externo
2000-03-01,5. MOVIMIENTOS DE CAPITAL,120670.8,Mes,Externo
2000-03-01,     INVERSIÓN EXTRANJERA,19949.8,Mes,Externo
2000-03-01,          INVERSIÓN DIRECTA,19949.8,Mes,Externo
2000-03-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-03-01,     PRÉSTAMOS,70812.7,Mes,Externo
2000-03-01,           PÚBLICO,5677.3,Mes,Externo
2000-03-01,           PRIVADO,57131.5,Mes,Externo
2000-03-01,           BANCARIO,8003.9,Mes,Externo
2000-03-01,    OTRAS ENTRADAS DE CAPITAL,29908.3,Mes,Externo
2000-03-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-03-01,    TOTAL INGRESOS,299844.1,Mes,Externo
2000-04-01,1. BIENES,70919.5,Mes,Externo
2000-04-01,    EXPORTACIONES DE MERCANCÍAS,21664.4,Mes,Externo
2000-04-01,      ANTICIPOS POR EXPORTACIONES,17605.7,Mes,Externo
2000-04-01,      PROCESAMIENTO Y MAQUILADO,31649.4,Mes,Externo
2000-04-01,2. SERVICIOS,39430.0,Mes,Externo
2000-04-01,     TRANSPORTE,393.4,Mes,Externo
2000-04-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),1170.9,Mes,Externo
2000-04-01,     GASTOS DE VIAJERO,10683.8,Mes,Externo
2000-04-01,     SERVICIOS DEL GOBIERNO,4100.2,Mes,Externo
2000-04-01,     OTROS SERVICIOS,23081.7,Mes,Externo
2000-04-01,          FINANCIEROS,0.0,Mes,Externo
2000-04-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-04-01,          OTROS,23081.7,Mes,Externo
2000-04-01,3. RENTA DE LA INVERSIÓN,8980.9,Mes,Externo
2000-04-01,4. TRANSFERENCIAS,29116.5,Mes,Externo
2000-04-01,     REMESAS FAMILIARES,26070.6,Mes,Externo
2000-04-01,     OTRAS,3045.9,Mes,Externo
2000-04-01,5. MOVIMIENTOS DE CAPITAL,54520.0,Mes,Externo
2000-04-01,     INVERSIÓN EXTRANJERA,7942.7,Mes,Externo
2000-04-01,          INVERSIÓN DIRECTA,7637.2,Mes,Externo
2000-04-01,          INVERSIÓN DE CARTERA,305.5,Mes,Externo
2000-04-01,     PRÉSTAMOS,29926.6,Mes,Externo
2000-04-01,           PÚBLICO,4883.0,Mes,Externo
2000-04-01,           PRIVADO,21424.0,Mes,Externo
2000-04-01,           BANCARIO,3619.6,Mes,Externo
2000-04-01,    OTRAS ENTRADAS DE CAPITAL,16650.7,Mes,Externo
2000-04-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-04-01,    TOTAL INGRESOS,202966.9,Mes,Externo
2000-05-01,1. BIENES,79668.0,Mes,Externo
2000-05-01,    EXPORTACIONES DE MERCANCÍAS,23637.7,Mes,Externo
2000-05-01,      ANTICIPOS POR EXPORTACIONES,22526.6,Mes,Externo
2000-05-01,      PROCESAMIENTO Y MAQUILADO,33503.7,Mes,Externo
2000-05-01,2. SERVICIOS,52030.7,Mes,Externo
2000-05-01,     TRANSPORTE,376.4,Mes,Externo
2000-05-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),686.6,Mes,Externo
2000-05-01,     GASTOS DE VIAJERO,12830.9,Mes,Externo
2000-05-01,     SERVICIOS DEL GOBIERNO,5423.3,Mes,Externo
2000-05-01,     OTROS SERVICIOS,32713.5,Mes,Externo
2000-05-01,          FINANCIEROS,0.0,Mes,Externo
2000-05-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-05-01,          OTROS,32713.5,Mes,Externo
2000-05-01,3. RENTA DE LA INVERSIÓN,10751.5,Mes,Externo
2000-05-01,4. TRANSFERENCIAS,40697.8,Mes,Externo
2000-05-01,     REMESAS FAMILIARES,34251.2,Mes,Externo
2000-05-01,     OTRAS,6446.6,Mes,Externo
2000-05-01,5. MOVIMIENTOS DE CAPITAL,38829.2,Mes,Externo
2000-05-01,     INVERSIÓN EXTRANJERA,30.0,Mes,Externo
2000-05-01,          INVERSIÓN DIRECTA,30.0,Mes,Externo
2000-05-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-05-01,     PRÉSTAMOS,25323.3,Mes,Externo
2000-05-01,           PÚBLICO,8252.5,Mes,Externo
2000-05-01,           PRIVADO,13964.2,Mes,Externo
2000-05-01,           BANCARIO,3106.6,Mes,Externo
2000-05-01,    OTRAS ENTRADAS DE CAPITAL,13475.9,Mes,Externo
2000-05-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-05-01,    TOTAL INGRESOS,221977.2,Mes,Externo
2000-06-01,1. BIENES,94504.9,Mes,Externo
2000-06-01,    EXPORTACIONES DE MERCANCÍAS,21415.3,Mes,Externo
2000-06-01,      ANTICIPOS POR EXPORTACIONES,24071.9,Mes,Externo
2000-06-01,      PROCESAMIENTO Y MAQUILADO,49017.7,Mes,Externo
2000-06-01,2. SERVICIOS,45543.7,Mes,Externo
2000-06-01,     TRANSPORTE,285.8,Mes,Externo
2000-06-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),711.7,Mes,Externo
2000-06-01,     GASTOS DE VIAJERO,11350.3,Mes,Externo
2000-06-01,     SERVICIOS DEL GOBIERNO,8993.2,Mes,Externo
2000-06-01,     OTROS SERVICIOS,24202.7,Mes,Externo
2000-06-01,          FINANCIEROS,0.0,Mes,Externo
2000-06-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-06-01,          OTROS,24202.7,Mes,Externo
2000-06-01,3. RENTA DE LA INVERSIÓN,5841.4,Mes,Externo
2000-06-01,4. TRANSFERENCIAS,29859.3,Mes,Externo
2000-06-01,     REMESAS FAMILIARES,26595.2,Mes,Externo
2000-06-01,     OTRAS,3264.1,Mes,Externo
2000-06-01,5. MOVIMIENTOS DE CAPITAL,48279.5,Mes,Externo
2000-06-01,     INVERSIÓN EXTRANJERA,2000.0,Mes,Externo
2000-06-01,          INVERSIÓN DIRECTA,2000.0,Mes,Externo
2000-06-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-06-01,     PRÉSTAMOS,29656.0,Mes,Externo
2000-06-01,           PÚBLICO,8779.8,Mes,Externo
2000-06-01,           PRIVADO,17089.3,Mes,Externo
2000-06-01,           BANCARIO,3786.9,Mes,Externo
2000-06-01,    OTRAS ENTRADAS DE CAPITAL,16623.5,Mes,Externo
2000-06-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-06-01,    TOTAL INGRESOS,224028.79999999996,Mes,Externo
2000-07-01,1. BIENES,69746.0,Mes,Externo
2000-07-01,    EXPORTACIONES DE MERCANCÍAS,20038.0,Mes,Externo
2000-07-01,      ANTICIPOS POR EXPORTACIONES,17206.3,Mes,Externo
2000-07-01,      PROCESAMIENTO Y MAQUILADO,32501.7,Mes,Externo
2000-07-01,2. SERVICIOS,44491.2,Mes,Externo
2000-07-01,     TRANSPORTE,235.6,Mes,Externo
2000-07-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),362.3,Mes,Externo
2000-07-01,     GASTOS DE VIAJERO,13167.1,Mes,Externo
2000-07-01,     SERVICIOS DEL GOBIERNO,7543.4,Mes,Externo
2000-07-01,     OTROS SERVICIOS,23182.8,Mes,Externo
2000-07-01,          FINANCIEROS,0.0,Mes,Externo
2000-07-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-07-01,          OTROS,23182.8,Mes,Externo
2000-07-01,3. RENTA DE LA INVERSIÓN,7846.9,Mes,Externo
2000-07-01,4. TRANSFERENCIAS,31727.7,Mes,Externo
2000-07-01,     REMESAS FAMILIARES,27622.3,Mes,Externo
2000-07-01,     OTRAS,4105.4,Mes,Externo
2000-07-01,5. MOVIMIENTOS DE CAPITAL,53826.399999999994,Mes,Externo
2000-07-01,     INVERSIÓN EXTRANJERA,2059.4,Mes,Externo
2000-07-01,          INVERSIÓN DIRECTA,2059.4,Mes,Externo
2000-07-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-07-01,     PRÉSTAMOS,36008.7,Mes,Externo
2000-07-01,           PÚBLICO,26663.2,Mes,Externo
2000-07-01,           PRIVADO,7705.2,Mes,Externo
2000-07-01,           BANCARIO,1640.3,Mes,Externo
2000-07-01,    OTRAS ENTRADAS DE CAPITAL,15758.3,Mes,Externo
2000-07-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-07-01,    TOTAL INGRESOS,207638.19999999998,Mes,Externo
2000-08-01,1. BIENES,85260.1,Mes,Externo
2000-08-01,    EXPORTACIONES DE MERCANCÍAS,29819.5,Mes,Externo
2000-08-01,      ANTICIPOS POR EXPORTACIONES,17288.1,Mes,Externo
2000-08-01,      PROCESAMIENTO Y MAQUILADO,38152.5,Mes,Externo
2000-08-01,2. SERVICIOS,50154.1,Mes,Externo
2000-08-01,     TRANSPORTE,278.9,Mes,Externo
2000-08-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),7.8,Mes,Externo
2000-08-01,     GASTOS DE VIAJERO,13189.0,Mes,Externo
2000-08-01,     SERVICIOS DEL GOBIERNO,11907.7,Mes,Externo
2000-08-01,     OTROS SERVICIOS,24770.7,Mes,Externo
2000-08-01,          FINANCIEROS,0.0,Mes,Externo
2000-08-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-08-01,          OTROS,24770.7,Mes,Externo
2000-08-01,3. RENTA DE LA INVERSIÓN,7759.4,Mes,Externo
2000-08-01,4. TRANSFERENCIAS,34364.7,Mes,Externo
2000-08-01,     REMESAS FAMILIARES,32350.8,Mes,Externo
2000-08-01,     OTRAS,2013.9,Mes,Externo
2000-08-01,5. MOVIMIENTOS DE CAPITAL,61290.0,Mes,Externo
2000-08-01,     INVERSIÓN EXTRANJERA,11893.7,Mes,Externo
2000-08-01,          INVERSIÓN DIRECTA,11874.4,Mes,Externo
2000-08-01,          INVERSIÓN DE CARTERA,19.3,Mes,Externo
2000-08-01,     PRÉSTAMOS,28243.2,Mes,Externo
2000-08-01,           PÚBLICO,16801.3,Mes,Externo
2000-08-01,           PRIVADO,8711.4,Mes,Externo
2000-08-01,           BANCARIO,2730.5,Mes,Externo
2000-08-01,    OTRAS ENTRADAS DE CAPITAL,21153.1,Mes,Externo
2000-08-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-08-01,    TOTAL INGRESOS,238828.3,Mes,Externo
2000-09-01,1. BIENES,81432.2,Mes,Externo
2000-09-01,    EXPORTACIONES DE MERCANCÍAS,23442.1,Mes,Externo
2000-09-01,      ANTICIPOS POR EXPORTACIONES,21526.0,Mes,Externo
2000-09-01,      PROCESAMIENTO Y MAQUILADO,36464.1,Mes,Externo
2000-09-01,2. SERVICIOS,46311.3,Mes,Externo
2000-09-01,     TRANSPORTE,406.2,Mes,Externo
2000-09-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),303.3,Mes,Externo
2000-09-01,     GASTOS DE VIAJERO,11400.7,Mes,Externo
2000-09-01,     SERVICIOS DEL GOBIERNO,10519.0,Mes,Externo
2000-09-01,     OTROS SERVICIOS,23682.1,Mes,Externo
2000-09-01,          FINANCIEROS,0.0,Mes,Externo
2000-09-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-09-01,          OTROS,23682.1,Mes,Externo
2000-09-01,3. RENTA DE LA INVERSIÓN,7532.7,Mes,Externo
2000-09-01,4. TRANSFERENCIAS,33050.3,Mes,Externo
2000-09-01,     REMESAS FAMILIARES,30846.0,Mes,Externo
2000-09-01,     OTRAS,2204.3,Mes,Externo
2000-09-01,5. MOVIMIENTOS DE CAPITAL,27743.2,Mes,Externo
2000-09-01,     INVERSIÓN EXTRANJERA,999.0,Mes,Externo
2000-09-01,          INVERSIÓN DIRECTA,999.0,Mes,Externo
2000-09-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-09-01,     PRÉSTAMOS,10744.6,Mes,Externo
2000-09-01,           PÚBLICO,3553.9,Mes,Externo
2000-09-01,           PRIVADO,6934.9,Mes,Externo
2000-09-01,           BANCARIO,255.8,Mes,Externo
2000-09-01,    OTRAS ENTRADAS DE CAPITAL,15999.6,Mes,Externo
2000-09-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-09-01,    TOTAL INGRESOS,196069.7,Mes,Externo
2000-10-01,1. BIENES,72470.7,Mes,Externo
2000-10-01,    EXPORTACIONES DE MERCANCÍAS,18436.2,Mes,Externo
2000-10-01,      ANTICIPOS POR EXPORTACIONES,20477.4,Mes,Externo
2000-10-01,      PROCESAMIENTO Y MAQUILADO,33557.1,Mes,Externo
2000-10-01,2. SERVICIOS,45951.7,Mes,Externo
2000-10-01,     TRANSPORTE,400.6,Mes,Externo
2000-10-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),2202.0,Mes,Externo
2000-10-01,     GASTOS DE VIAJERO,11423.8,Mes,Externo
2000-10-01,     SERVICIOS DEL GOBIERNO,7257.2,Mes,Externo
2000-10-01,     OTROS SERVICIOS,24668.1,Mes,Externo
2000-10-01,          FINANCIEROS,0.0,Mes,Externo
2000-10-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-10-01,          OTROS,24668.1,Mes,Externo
2000-10-01,3. RENTA DE LA INVERSIÓN,7864.2,Mes,Externo
2000-10-01,4. TRANSFERENCIAS,36093.2,Mes,Externo
2000-10-01,     REMESAS FAMILIARES,32242.2,Mes,Externo
2000-10-01,     OTRAS,3851.0,Mes,Externo
2000-10-01,5. MOVIMIENTOS DE CAPITAL,46933.6,Mes,Externo
2000-10-01,     INVERSIÓN EXTRANJERA,0.0,Mes,Externo
2000-10-01,          INVERSIÓN DIRECTA,0.0,Mes,Externo
2000-10-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-10-01,     PRÉSTAMOS,28084.0,Mes,Externo
2000-10-01,           PÚBLICO,19032.5,Mes,Externo
2000-10-01,           PRIVADO,5967.3,Mes,Externo
2000-10-01,           BANCARIO,3084.2,Mes,Externo
2000-10-01,    OTRAS ENTRADAS DE CAPITAL,18849.6,Mes,Externo
2000-10-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
2000-10-01,    TOTAL INGRESOS,209313.4,Mes,Externo
2000-11-01,1. BIENES,76312.0,Mes,Externo
2000-11-01,    EXPORTACIONES DE MERCANCÍAS,19743.8,Mes,Externo
2000-11-01,      ANTICIPOS POR EXPORTACIONES,17599.2,Mes,Externo
2000-11-01,      PROCESAMIENTO Y MAQUILADO,38969.0,Mes,Externo
2000-11-01,2. SERVICIOS,53215.1,Mes,Externo
2000-11-01,     TRANSPORTE,486.1,Mes,Externo
2000-11-01,     SEGUROS (PRIMAS E INDEMNIZACIONES),2292.4,Mes,Externo
2000-11-01,     GASTOS DE VIAJERO,11063.9,Mes,Externo
2000-11-01,     SERVICIOS DEL GOBIERNO,13652.2,Mes,Externo
2000-11-01,     OTROS SERVICIOS,25720.5,Mes,Externo
2000-11-01,          FINANCIEROS,0.0,Mes,Externo
2000-11-01,          EMPRESARIALES Y PROFESIONALES,0.0,Mes,Externo
2000-11-01,          OTROS,25720.5,Mes,Externo
2000-11-01,3. RENTA DE LA INVERSIÓN,7693.7,Mes,Externo
2000-11-01,4. TRANSFERENCIAS,37005.9,Mes,Externo
2000-11-01,     REMESAS FAMILIARES,32249.6,Mes,Externo
2000-11-01,     OTRAS,4756.3,Mes,Externo
2000-11-01,5. MOVIMIENTOS DE CAPITAL,32024.8,Mes,Externo
2000-11-01,     INVERSIÓN EXTRANJERA,2.1,Mes,Externo
2000-11-01,          INVERSIÓN DIRECTA,2.1,Mes,Externo
2000-11-01,          INVERSIÓN DE CARTERA,0.0,Mes,Externo
2000-11-01,     PRÉSTAMOS,20298.5,Mes,Externo
2000-11-01,           PÚBLICO,5825.2,Mes,Externo
2000-11-01,           PRIVADO,10629.7,Mes,Externo
2000-11-01,           BANCARIO,3843.6,Mes,Externo
2000-11-01,    OTRAS ENTRADAS DE CAPITAL,11724.2,Mes,Externo
2000-11-01,    INVERSIÓN BONOS CADD,0.0,Mes,Externo
