Fechas,Variable,Valores,Periodicidad,Sector
2000-01-01,TOTAL EXPORTACIONES DE BIENES FOB,3343.4,Anual,Externo
2000-01-01,1.1 Mercancías Generales,1291.2,Anual,Externo
2000-01-01,   1.1.1  Mercancías Generales provenientes de Aduana,1273.0,Anual,Externo
2000-01-01,   1.1.2  Mercancías Generales provenientes de Zonas Libres,0.0,Anual,Externo
2000-01-01,   1.1.3  Ajustes:,41.3,Anual,Externo
2000-01-01,1.1.3.1  DE COBERTURA,41.3,Anual,Externo
2000-01-01,  1.1.3.1.1 Contrabando,41.3,Anual,Externo
2000-01-01,    1.1.3.1.1.1 Contrabando de café,23.1,Anual,Externo
2000-01-01,    1.1.3.1.1.2 Otros ajustes de contrabando ,18.2,Anual,Externo
2000-01-01,  1.1.3.1.2 Otros Ajustes de cobertura,0.0,Anual,Externo
2000-01-01,    1.1.3.1.2.1 Exportación de energía eléctrica,0.0,Anual,Externo
2000-01-01,    1.1.3.1.2.2 Otros ajustes de cobertura,0.0,Anual,Externo
2000-01-01,1.1.3.2  DE CLASIFICACIÓN,0.0,Anual,Externo
2000-01-01,1.1.3.3  DE VALORACIÓN,0.0,Anual,Externo
2000-01-01,1.1.3.4 DE MOMENTO DE REGISTRO,0.0,Anual,Externo
2000-01-01,1.2 Bienes para transformación,2037.8,Anual,Externo
2000-01-01,   1.2.1  Mercancías según aduanas,2037.8,Anual,Externo
2000-01-01,   1.2.2  Ajustes:,0.0,Anual,Externo
2000-01-01,1.2.2.1 De Cobertura,0.0,Anual,Externo
2000-01-01,1.2.2.2 Por Régimen de Importación Temporal,0.0,Anual,Externo
2000-01-01,1.3  Reparación de Bienes,0.4,Anual,Externo
2000-01-01,1.4  Bienes adquiridos en puerto por medios de transporte,7.8,Anual,Externo
2000-01-01,1.5  Oro no monetario,6.2,Anual,Externo
2000-01-01,Volumen (miles de Onzas Troy),24.0,Anual,Externo
2000-01-01,Precio,260.32,Anual,Externo
2000-01-01,2. TOTAL IMPORTACIONES DE BIENES FOB,3987.8,Anual,Externo
2000-01-01,2.1  Mercancías Generales CIF,2979.7,Anual,Externo
2000-01-01,   2.1.1  Mercancías Generales provenientes de Aduana 1/,2854.7,Anual,Externo
2000-01-01,   2.1.2  Mercancías Generales provenientes de Zonas Libres,0.0,Anual,Externo
2000-01-01,   2.1.3  Ajustes:,125.0,Anual,Externo
2000-01-01,2.1.3.1  DE COBERTURA,125.0,Anual,Externo
2000-01-01,2.1.3.1.1 Otros ajustes  de cobertura,125.0,Anual,Externo
2000-01-01,       2.1.3.1.1.1   Ajustes de la portuaria,114.2,Anual,Externo
2000-01-01,       2.1.3.1.1.2   Importación de energía eléctrica,10.8,Anual,Externo
2000-01-01,2.1.3.2  DE CLASIFICACIÓN,0.0,Anual,Externo
2000-01-01,   2.1.3.2.1  RIT,0.0,Anual,Externo
2000-01-01,   2.1.3.2.2  Ajustes regímenes excluidos,0.0,Anual,Externo
2000-01-01,  2.1.3.2 DE MOMENTO DE REGISTRO,0.0,Anual,Externo
2000-01-01,   2.1.3.2.1 Combustible Aduanas,0.0,Anual,Externo
2000-01-01,   2.1.3.2.2 Combustible de empresas,0.0,Anual,Externo
2000-01-01,  2.1.4  Fletes y Seguros,-299.7,Anual,Externo
2000-01-01, 2.1.4.1  Fletes,0.0,Anual,Externo
2000-01-01, 2.1.4.2  Seguros,0.0,Anual,Externo
2000-01-01, Mercancías Generales FOB,2679.9,Anual,Externo
2000-01-01,2.2  Bienes para Transformación FOB,1307.6,Anual,Externo
2000-01-01,2.2.1  Mercancías según aduanas,1409.9,Anual,Externo
2000-01-01,2.2.2  Ajustes:,-102.3,Anual,Externo
2000-01-01,      2.2.2.1  DE CLASIFICACIÓN ,-102.3,Anual,Externo
2000-01-01,         2.2.2.1.1 RIT,51.1,Anual,Externo
2000-01-01,         2.2.2.1.2 Fletes y Seguros,-153.4,Anual,Externo
2000-01-01,         2.2.2.1.2.1  Fletes,-153.4,Anual,Externo
2000-01-01,         2.2.2.1.2.2 Seguros,0.0,Anual,Externo
2000-01-01,      2.2.2.2  DE COBERTURA,0.0,Anual,Externo
2000-01-01,      2.2.2.2.1 Otros ajuste de cobertura,0.0,Anual,Externo
2000-01-01,2.3  Reparación de Bienes,0.3,Anual,Externo
2000-01-01,2.4  Bienes adquiridos en puerto por medios de transporte,0.0,Anual,Externo
2000-01-01,2.5  Oro no monetario,0.0,Anual,Externo
2000-01-01,SALDO BALANZA DE BIENES,-644.4,Anual,Externo
2001-01-01,TOTAL EXPORTACIONES DE BIENES FOB,3422.7,Anual,Externo
2001-01-01,1.1 Mercancías Generales,1200.1,Anual,Externo
2001-01-01,   1.1.1  Mercancías Generales provenientes de Aduana,1180.5,Anual,Externo
2001-01-01,   1.1.2  Mercancías Generales provenientes de Zonas Libres,0.0,Anual,Externo
2001-01-01,   1.1.3  Ajustes:,37.8,Anual,Externo
2001-01-01,1.1.3.1  DE COBERTURA,37.8,Anual,Externo
2001-01-01,  1.1.3.1.1 Contrabando,37.8,Anual,Externo
2001-01-01,    1.1.3.1.1.1 Contrabando de café,18.2,Anual,Externo
2001-01-01,    1.1.3.1.1.2 Otros ajustes de contrabando ,19.6,Anual,Externo
2001-01-01,  1.1.3.1.2 Otros Ajustes de cobertura,0.0,Anual,Externo
2001-01-01,    1.1.3.1.2.1 Exportación de energía eléctrica,0.0,Anual,Externo
2001-01-01,    1.1.3.1.2.2 Otros ajustes de cobertura,0.0,Anual,Externo
2001-01-01,1.1.3.2  DE CLASIFICACIÓN,0.0,Anual,Externo
2001-01-01,1.1.3.3  DE VALORACIÓN,0.0,Anual,Externo
2001-01-01,1.1.3.4 DE MOMENTO DE REGISTRO,0.0,Anual,Externo
2001-01-01,1.2 Bienes para transformación,2147.7,Anual,Externo
2001-01-01,   1.2.1  Mercancías según aduanas,2147.7,Anual,Externo
2001-01-01,   1.2.2  Ajustes:,0.0,Anual,Externo
2001-01-01,1.2.2.1 De Cobertura,0.0,Anual,Externo
2001-01-01,1.2.2.2 Por Régimen de Importación Temporal,0.0,Anual,Externo
2001-01-01,1.3  Reparación de Bienes,0.4,Anual,Externo
2001-01-01,1.4  Bienes adquiridos en puerto por medios de transporte,10.7,Anual,Externo
2001-01-01,1.5  Oro no monetario,63.8,Anual,Externo
2001-01-01,Volumen (miles de Onzas Troy),244.0,Anual,Externo
2001-01-01,Precio,261.68,Anual,Externo
2001-01-01,2. TOTAL IMPORTACIONES DE BIENES FOB,4151.9,Anual,Externo
2001-01-01,2.1  Mercancías Generales CIF,3069.3,Anual,Externo
