Fechas,Variable,Valores,Periodicidad,Sector
2004-03-01,TOTAL EXPORTACIONES DE BIENES FOB,1062.4,Trimestral,Externo
2004-03-01,1.1 Mercancías Generales,386.4,Trimestral,Externo
2004-03-01,   1.1.1  Mercancías Generales provenientes de Aduana,284.5,Trimestral,Externo
2004-03-01,   1.1.2  Mercancías Generales provenientes de Zonas Libres,60.0,Trimestral,Externo
2004-03-01,   1. 1.3  Ajustes:,42.0,Trimestral,Externo
2004-03-01,1.1.3.1  DE COBERTURA,22.7,Trimestral,Externo
2004-03-01,  1.1.3.1.1 Contrabando,10.1,Trimestral,Externo
2004-03-01,    1.1.3.1.1.1 Contrabando de café,10.1,Trimestral,Externo
2004-03-01,    1.1.3.1.1.2 Otros ajustes de contrabando ,0.0,Trimestral,Externo
2004-03-01,  1.1.3.1.2 Otros ajustes de cobertura,12.6,Trimestral,Externo
2004-03-01,    1.1.3.1.2.1 Exportación de energía eléctrica,0.0,Trimestral,Externo
2004-03-01,    1.1.3.1.2.2 Otros ajustes de cobertura,12.6,Trimestral,Externo
2004-03-01,1.1.3.2  DE CLASIFICACIÓN,-6.5,Trimestral,Externo
2004-03-01,1.1.3.3  DE VALORACIÓN,10.4,Trimestral,Externo
2004-03-01,1.1.3.4 DE MOMENTO DE REGÍSTRO,15.4,Trimestral,Externo
2004-03-01,1.2 Bienes para transformación,651.7,Trimestral,Externo
2004-03-01,1.2.1  Mercancías según aduanas,474.9,Trimestral,Externo
2004-03-01,1.2.2  Ajustes:,176.8,Trimestral,Externo
2004-03-01,  1.2.2.1 De Valoración,169.1,Trimestral,Externo
2004-03-01,  1.2.2.2 Por Regímen de Importación Temporal,7.7,Trimestral,Externo
2004-03-01,1.3  Reparación de Bienes,0.1,Trimestral,Externo
2004-03-01,1.4  Bienes adquiridos en puerto por medios de transporte,1.4,Trimestral,Externo
2004-03-01,1.5  Oro no monetario,22.8,Trimestral,Externo
2004-03-01,Volumen (miles de Onzas Troy),55.5,Trimestral,Externo
2004-03-01,Precio,409.67,Trimestral,Externo
2004-03-01,2. TOTAL IMPORTACIONES DE BIENES FOB,1355.4,Trimestral,Externo
2004-03-01,2.1  Mercancías Generales CIF,988.5,Trimestral,Externo
2004-03-01,   2.1.1  Mercancías Generales provenientes de Aduana,851.2,Trimestral,Externo
2004-03-01,   2.1.2  Mercancías Generales provenientes de Zonas Libres,62.7,Trimestral,Externo
2004-03-01,   2.1.3  Ajustes:,74.7,Trimestral,Externo
2004-03-01,2.1.3.1  DE COBERTURA,7.2,Trimestral,Externo
2004-03-01,2.1.3.1.1 Otros ajustes  de cobertura,7.2,Trimestral,Externo
2004-03-01,       2.1.3.1.1.1   Ajustes de la portuaria,1.1,Trimestral,Externo
2004-03-01,       2.1.3.1.1.2   Importación de energía eléctrica,6.1,Trimestral,Externo
2004-03-01,2.1.3.1.2  DE CLASIFICACIÓN,49.9,Trimestral,Externo
2004-03-01,      2.1.3.1.2.1   RIT,-4.3,Trimestral,Externo
2004-03-01,      2.1.3.1.2.2  Ajustes regímenes excluidos,54.2,Trimestral,Externo
2004-03-01,  2.1.3.2 DE MOMENTO DE REGÍSTRO,17.6,Trimestral,Externo
2004-03-01,     1.3.3.1 Combustible aduanas,-114.1,Trimestral,Externo
2004-03-01,     1.3.3.2 Combustible de empresas,131.7,Trimestral,Externo
2004-03-01, Fletes y Seguros,-70.7,Trimestral,Externo
2004-03-01, 2.1.1  Fletes,-63.7,Trimestral,Externo
2004-03-01, 2.1.2  Seguros,-7.0,Trimestral,Externo
2004-03-01, Mercancías Generales FOB,917.9,Trimestral,Externo
2004-03-01,2.2  Bienes para Transformación FOB,437.1,Trimestral,Externo
2004-03-01,2.2.1  Mercancías según aduanas,451.9,Trimestral,Externo
2004-03-01,2.2.2  Ajustes:,-14.8,Trimestral,Externo
2004-03-01,      2.2.2.1  DE CLASIFICACIÓN ,-14.8,Trimestral,Externo
2004-03-01,         2.2.2.1.1 RIT,4.3,Trimestral,Externo
2004-03-01,         2.2.2.1.2 Fletes y Seguros,-19.1,Trimestral,Externo
2004-03-01,      2.2.2.2.1  Fletes,-18.7,Trimestral,Externo
2004-03-01,      2.2.2.2.2 Seguros,-0.4,Trimestral,Externo
2004-03-01,      2.2.2.2  DE COBERTURA,0.0,Trimestral,Externo
2004-03-01,      2.2.2.2.1 Otros ajuste de cobertura,0.0,Trimestral,Externo
2004-03-01,2.3  Reparación de Bienes,0.2,Trimestral,Externo
2004-03-01,2.4  Bienes adquiridos en puerto por medios de transporte,0.3,Trimestral,Externo
2004-03-01,2.5  Oro no monetario,0.0,Trimestral,Externo
2004-03-01,SALDO BALANZA DE BIENES,-293.0,Trimestral,Externo
2004-06-01,TOTAL EXPORTACIONES DE BIENES FOB,1129.3,Trimestral,Externo
2004-06-01,1.1 Mercancías Generales,409.9,Trimestral,Externo
2004-06-01,   1.1.1  Mercancías Generales provenientes de Aduana,292.2,Trimestral,Externo
2004-06-01,   1.1.2  Mercancías Generales provenientes de Zonas Libres,67.3,Trimestral,Externo
2004-06-01,   1. 1.3  Ajustes:,50.5,Trimestral,Externo
2004-06-01,1.1.3.1  DE COBERTURA,22.4,Trimestral,Externo
2004-06-01,  1.1.3.1.1 Contrabando,9.5,Trimestral,Externo
2004-06-01,    1.1.3.1.1.1 Contrabando de café,9.5,Trimestral,Externo
2004-06-01,    1.1.3.1.1.2 Otros ajustes de contrabando ,0.0,Trimestral,Externo
2004-06-01,  1.1.3.1.2 Otros ajustes de cobertura,12.8,Trimestral,Externo
2004-06-01,    1.1.3.1.2.1 Exportación de energía eléctrica,0.0,Trimestral,Externo
2004-06-01,    1.1.3.1.2.2 Otros ajustes de cobertura,12.8,Trimestral,Externo
2004-06-01,1.1.3.2  DE CLASIFICACIÓN,-8.9,Trimestral,Externo
2004-06-01,1.1.3.3  DE VALORACIÓN,33.9,Trimestral,Externo
2004-06-01,1.1.3.4 DE MOMENTO DE REGÍSTRO,3.1,Trimestral,Externo
2004-06-01,1.2 Bienes para transformación,701.4,Trimestral,Externo
2004-06-01,1.2.1  Mercancías según aduanas,485.1,Trimestral,Externo
2004-06-01,1.2.2  Ajustes:,216.3,Trimestral,Externo
2004-06-01,  1.2.2.1 De Valoración,205.4,Trimestral,Externo
2004-06-01,  1.2.2.2 Por Regímen de Importación Temporal,10.9,Trimestral,Externo
2004-06-01,1.3  Reparación de Bienes,0.1,Trimestral,Externo
2004-06-01,1.4  Bienes adquiridos en puerto por medios de transporte,1.1,Trimestral,Externo
2004-06-01,1.5  Oro no monetario,16.9,Trimestral,Externo
2004-06-01,Volumen (miles de Onzas Troy),43.3,Trimestral,Externo
2004-06-01,Precio,390.15,Trimestral,Externo
2004-06-01,2. TOTAL IMPORTACIONES DE BIENES FOB,1404.2,Trimestral,Externo
2004-06-01,2.1  Mercancías Generales CIF,1002.0,Trimestral,Externo
2004-06-01,   2.1.1  Mercancías Generales provenientes de Aduana,890.9,Trimestral,Externo
2004-06-01,   2.1.2  Mercancías Generales provenientes de Zonas Libres,59.9,Trimestral,Externo
2004-06-01,   2.1.3  Ajustes:,51.2,Trimestral,Externo
2004-06-01,2.1.3.1  DE COBERTURA,7.2,Trimestral,Externo
2004-06-01,2.1.3.1.1 Otros ajustes  de cobertura,7.2,Trimestral,Externo
2004-06-01,       2.1.3.1.1.1   Ajustes de la portuaria,0.6,Trimestral,Externo
2004-06-01,       2.1.3.1.1.2   Importación de energía eléctrica,6.6,Trimestral,Externo
2004-06-01,2.1.3.1.2  DE CLASIFICACIÓN,12.6,Trimestral,Externo
2004-06-01,      2.1.3.1.2.1   RIT,-5.1,Trimestral,Externo
2004-06-01,      2.1.3.1.2.2  Ajustes regímenes excluidos,17.6,Trimestral,Externo
2004-06-01,  2.1.3.2 DE MOMENTO DE REGÍSTRO,31.4,Trimestral,Externo
2004-06-01,     1.3.3.1 Combustible aduanas,-135.6,Trimestral,Externo
2004-06-01,     1.3.3.2 Combustible de empresas,167.0,Trimestral,Externo
2004-06-01, Fletes y Seguros,-77.7,Trimestral,Externo
2004-06-01, 2.1.1  Fletes,-70.4,Trimestral,Externo
2004-06-01, 2.1.2  Seguros,-7.3,Trimestral,Externo
2004-06-01, Mercancías Generales FOB,924.2,Trimestral,Externo
2004-06-01,2.2  Bienes para Transformación FOB,479.4,Trimestral,Externo
2004-06-01,2.2.1  Mercancías según aduanas,494.0,Trimestral,Externo
2004-06-01,2.2.2  Ajustes:,-14.6,Trimestral,Externo
2004-06-01,      2.2.2.1  DE CLASIFICACIÓN ,-14.6,Trimestral,Externo
2004-06-01,         2.2.2.1.1 RIT,5.1,Trimestral,Externo
2004-06-01,         2.2.2.1.2 Fletes y Seguros,-19.7,Trimestral,Externo
2004-06-01,      2.2.2.2.1  Fletes,-19.4,Trimestral,Externo
2004-06-01,      2.2.2.2.2 Seguros,-0.3,Trimestral,Externo
2004-06-01,      2.2.2.2  DE COBERTURA,0.0,Trimestral,Externo
2004-06-01,      2.2.2.2.1 Otros ajuste de cobertura,0.0,Trimestral,Externo
2004-06-01,2.3  Reparación de Bienes,0.2,Trimestral,Externo
2004-06-01,2.4  Bienes adquiridos en puerto por medios de transporte,0.4,Trimestral,Externo
2004-06-01,2.5  Oro no monetario,0.0,Trimestral,Externo
2004-06-01,SALDO BALANZA DE BIENES,-274.8,Trimestral,Externo
2004-09-01,TOTAL EXPORTACIONES DE BIENES FOB,1179.4,Trimestral,Externo
