Fechas,Variable,Valores,Periodicidad,Sector
2003-01-01,Materias vegetales en bruto.,0.0,Anual,Externo
2003-01-01,"Hilados e hilos, tejidos de fibras textiles. ",58.1,Anual,Externo
2003-01-01,Artículos textiles excluyendo prendas de vestir.,58.1,Anual,Externo
2003-01-01,Tejidos de punto o ganchillo excluído prendas de vestir y peletería.,123.2,Anual,Externo
2003-01-01,Prendas de vestir.,1941.2,Anual,Externo
2003-01-01,"Artículos de Cuero (Maletas, bolsos de mano y artículos similares).",0.0,Anual,Externo
2003-01-01,Calzado y partes de calzado.,0.4,Anual,Externo
2003-01-01,"Productos de madera, corcho, paja y materiales trenzables; excepto muebles.",0.6,Anual,Externo
2003-01-01,"Papel periódico, otros papeles y cartones, elaborados, ondulados y envases de papel y cartón.",16.7,Anual,Externo
2003-01-01,Productos de la edición e impresión.,0.0,Anual,Externo
2003-01-01,"Otros productos de la refinación del petróleo y productos de horno de coque, aceítes y grasas, ceras",0.0,Anual,Externo
2003-01-01,Productos químicos básicos.,0.0,Anual,Externo
2003-01-01,"Abonos animales y vegetales, cloruros, nitratos y abonos químicos.",0.0,Anual,Externo
2003-01-01,"Plásticos en formas primarias, caucho sintético y artificial y sus mezclas.",0.0,Anual,Externo
2003-01-01,"Pintura, barnices y productos conexos.",0.0,Anual,Externo
2003-01-01,Productos químicos n.c.p. ,0.0,Anual,Externo
2003-01-01,Fibras textiles manufacturadas.,1.6,Anual,Externo
2003-01-01,Otros productos de caucho.,0.8,Anual,Externo
2003-01-01,Productos de plástico.,23.7,Anual,Externo
2003-01-01,Vidrios y productos de vídrio.,0.0,Anual,Externo
2003-01-01,Artículos de cerámica no estructurales.,0.0,Anual,Externo
2003-01-01,"Artículos de hormigón, cemento y yeso; piedra de construcción o talla y sus manufacturas.",0.0,Anual,Externo
2003-01-01,Metales comunes.,0.0,Anual,Externo
2003-01-01,Otros productos metálicos elaborados.,1.6,Anual,Externo
2003-01-01,Maquinarias para usos generales y sus partes.,0.5,Anual,Externo
2003-01-01,"Maquinas herramientas y sus partes, piezas y accesorios.",0.3,Anual,Externo
2003-01-01,"Maquinas para la industria manufacturera, y sus partes y piezas.",0.0,Anual,Externo
2003-01-01,"Aparatos de uso doméstico, y sus partes y piezas.",0.0,Anual,Externo
2003-01-01,Otra maquinaria para usos especiales y sus partes y piezas n.c.p.,0.0,Anual,Externo
2003-01-01,"Maquinaria de oficina, contabilidad e informática y sus partes, piezas y accesorios.",0.0,Anual,Externo
2003-01-01,Maquinaria y aparatos eléctricos y sus partes y piezas.,143.7,Anual,Externo
2003-01-01,"Equipos y aparatos de radio, televisión y comunicaciones; sus partes y piezas.",0.2,Anual,Externo
2003-01-01,"Aparatos médicos y instrumentos ópticos y de precisión, relojes.",0.0,Anual,Externo
2003-01-01,Equipo de transporte.,14.3,Anual,Externo
2003-01-01,Otros muebles y partes de muebles.,0.0,Anual,Externo
2003-01-01,Otros artículos manufacturados.,3.8,Anual,Externo
2003-01-01,Desperdicios y desechos metálicos y no metálicos.,1.0,Anual,Externo
2003-01-01,TOTAL BIENES,2389.9,Anual,Externo
2004-01-01,Materias vegetales en bruto.,0.0,Anual,Externo
2004-01-01,"Hilados e hilos, tejidos de fibras textiles. ",95.6,Anual,Externo
2004-01-01,Artículos textiles excluyendo prendas de vestir.,51.6,Anual,Externo
2004-01-01,Tejidos de punto o ganchillo excluído prendas de vestir y peletería.,75.4,Anual,Externo
2004-01-01,Prendas de vestir.,2381.2,Anual,Externo
2004-01-01,"Artículos de Cuero (Maletas, bolsos de mano y artículos similares).",0.0,Anual,Externo
2004-01-01,Calzado y partes de calzado.,0.7,Anual,Externo
2004-01-01,"Productos de madera, corcho, paja y materiales trenzables; excepto muebles.",1.6,Anual,Externo
2004-01-01,"Papel periódico, otros papeles y cartones, elaborados, ondulados y envases de papel y cartón.",38.0,Anual,Externo
2004-01-01,Productos de la edición e impresión.,0.0,Anual,Externo
2004-01-01,"Otros productos de la refinación del petróleo y productos de horno de coque, aceítes y grasas, ceras",0.0,Anual,Externo
2004-01-01,Productos químicos básicos.,0.0,Anual,Externo
2004-01-01,"Abonos animales y vegetales, cloruros, nitratos y abonos químicos.",0.0,Anual,Externo
2004-01-01,"Plásticos en formas primarias, caucho sintético y artificial y sus mezclas.",1.2,Anual,Externo
2004-01-01,"Pintura, barnices y productos conexos.",0.0,Anual,Externo
2004-01-01,Productos químicos n.c.p. ,0.0,Anual,Externo
2004-01-01,Fibras textiles manufacturadas.,0.9,Anual,Externo
2004-01-01,Otros productos de caucho.,0.9,Anual,Externo
2004-01-01,Productos de plástico.,24.8,Anual,Externo
2004-01-01,Vidrios y productos de vídrio.,0.0,Anual,Externo
2004-01-01,Artículos de cerámica no estructurales.,0.0,Anual,Externo
2004-01-01,"Artículos de hormigón, cemento y yeso; piedra de construcción o talla y sus manufacturas.",0.0,Anual,Externo
2004-01-01,Metales comunes.,0.0,Anual,Externo
2004-01-01,Otros productos metálicos elaborados.,7.7,Anual,Externo
2004-01-01,Maquinarias para usos generales y sus partes.,4.5,Anual,Externo
2004-01-01,"Maquinas herramientas y sus partes, piezas y accesorios.",0.8,Anual,Externo
2004-01-01,"Maquinas para la industria manufacturera, y sus partes y piezas.",0.0,Anual,Externo
2004-01-01,"Aparatos de uso doméstico, y sus partes y piezas.",0.0,Anual,Externo
2004-01-01,Otra maquinaria para usos especiales y sus partes y piezas n.c.p.,0.2,Anual,Externo
2004-01-01,"Maquinaria de oficina, contabilidad e informática y sus partes, piezas y accesorios.",0.0,Anual,Externo
2004-01-01,Maquinaria y aparatos eléctricos y sus partes y piezas.,186.6,Anual,Externo
2004-01-01,"Equipos y aparatos de radio, televisión y comunicaciones; sus partes y piezas.",0.6,Anual,Externo
2004-01-01,"Aparatos médicos y instrumentos ópticos y de precisión, relojes.",0.0,Anual,Externo
2004-01-01,Equipo de transporte.,11.2,Anual,Externo
2004-01-01,Otros muebles y partes de muebles.,0.0,Anual,Externo
2004-01-01,Otros artículos manufacturados.,3.6,Anual,Externo
2004-01-01,Desperdicios y desechos metálicos y no metálicos.,1.0,Anual,Externo
2004-01-01,TOTAL BIENES,2888.1,Anual,Externo
2005-01-01,Materias vegetales en bruto.,0.2,Anual,Externo
2005-01-01,"Hilados e hilos, tejidos de fibras textiles. ",95.9,Anual,Externo
2005-01-01,Artículos textiles excluyendo prendas de vestir.,54.3,Anual,Externo
2005-01-01,Tejidos de punto o ganchillo excluído prendas de vestir y peletería.,95.1,Anual,Externo
2005-01-01,Prendas de vestir.,2456.8,Anual,Externo
2005-01-01,"Artículos de Cuero (Maletas, bolsos de mano y artículos similares).",0.0,Anual,Externo
2005-01-01,Calzado y partes de calzado.,0.0,Anual,Externo
2005-01-01,"Productos de madera, corcho, paja y materiales trenzables; excepto muebles.",0.5,Anual,Externo
2005-01-01,"Papel periódico, otros papeles y cartones, elaborados, ondulados y envases de papel y cartón.",58.5,Anual,Externo
2005-01-01,Productos de la edición e impresión.,0.0,Anual,Externo
2005-01-01,"Otros productos de la refinación del petróleo y productos de horno de coque, aceítes y grasas, ceras",0.0,Anual,Externo
2005-01-01,Productos químicos básicos.,0.1,Anual,Externo
2005-01-01,"Abonos animales y vegetales, cloruros, nitratos y abonos químicos.",0.0,Anual,Externo
