Fechas,Variable,Valores,Periodicidad,Sector
2004-03-01,Materias vegetales en bruto.,0.0,Trimestral,Externo
2004-03-01,"Hilados e hilos, tejidos de fibras textiles. ",24.1,Trimestral,Externo
2004-03-01,Artículos textiles excluido prendas de vestir.,14.4,Trimestral,Externo
2004-03-01,Tejidos de punto o ganchillo excluido prendas de vestir y peletería.,26.7,Trimestral,Externo
2004-03-01,Prendas de vestir.,542.3,Trimestral,Externo
2004-03-01,"Artículos de cuero (maletas, bolsos de mano y artículos similares).",0.0,Trimestral,Externo
2004-03-01,Calzado y partes de calzado.,0.2,Trimestral,Externo
2004-03-01,"Productos de madera, corcho, paja y materiales trenzables; excepto muebles.",0.1,Trimestral,Externo
2004-03-01,"Papel periódico, otros papeles y cartones, elaborados, ondulados y envases de papel y cartón.",4.3,Trimestral,Externo
2004-03-01,Productos de la edición e impresión.,0.0,Trimestral,Externo
2004-03-01,"Otros productos de la refinación del petróleo y productos de horno de coque, aceites y grasas ceras.",0.0,Trimestral,Externo
2004-03-01,Productos químicos básicos.,0.0,Trimestral,Externo
2004-03-01,"Abonos animales y vegetales, cloruros, nitratos y abonos químicos.",0.0,Trimestral,Externo
2004-03-01,"Plásticos en formas primarias, caucho sintético y artificial y sus mezclas.",0.0,Trimestral,Externo
2004-03-01,"Pintura, barnices y productos conexos.",0.0,Trimestral,Externo
2004-03-01,Productos químicos n.c.p. ,0.0,Trimestral,Externo
2004-03-01,Fibras textiles manufacturadas.,0.2,Trimestral,Externo
2004-03-01,Otros productos de caucho.,0.2,Trimestral,Externo
2004-03-01,Productos de plástico.,4.8,Trimestral,Externo
2004-03-01,Vídrios y productos de vídrio.,0.0,Trimestral,Externo
2004-03-01,Artículos de cerámica no estructurales.,0.0,Trimestral,Externo
2004-03-01,"Artículos de hormigón, cemento y yeso; piedra de construcción o talla y sus manufactura.",0.0,Trimestral,Externo
2004-03-01,Metales comunes.,0.0,Trimestral,Externo
2004-03-01,Otros productos metálicos elaborados.,0.3,Trimestral,Externo
2004-03-01,Maquinarias para usos generales y sus partes.,0.2,Trimestral,Externo
2004-03-01,"Máquinas herramientas y sus partes, piezas y accesorios.",0.2,Trimestral,Externo
2004-03-01,"Máquinas para la industria manufacturera, y sus partes y piezas.",0.0,Trimestral,Externo
2004-03-01,"Aparatos de uso doméstico, y sus partes y piezas.",0.0,Trimestral,Externo
2004-03-01,Otra maquinaria para usos especiales y sus partes y piezas n.c.p.,0.0,Trimestral,Externo
2004-03-01,"Maquinaria de oficina, contabilidad e informática y sus partes, piezas y accesorios.",0.0,Trimestral,Externo
2004-03-01,Maquinaria y aparatos eléctricos y sus partes y piezas.,29.7,Trimestral,Externo
2004-03-01,"Equipos y aparatos de radio, televisión y comunicaciones; sus partes y piezas.",0.1,Trimestral,Externo
2004-03-01,"Aparatos médicos y instrumentos ópticos y de precisión, relojes.",0.0,Trimestral,Externo
2004-03-01,Equipo de transporte.,2.9,Trimestral,Externo
2004-03-01,Otros muebles y partes de muebles.,0.0,Trimestral,Externo
2004-03-01,Otros artículos manufacturados.,0.8,Trimestral,Externo
2004-03-01,Desperdicios y desechos metálicos y no metálicos.,0.3,Trimestral,Externo
2004-03-01,TOTAL BIENES,651.7,Trimestral,Externo
2004-06-01,Materias vegetales en bruto.,0.0,Trimestral,Externo
2004-06-01,"Hilados e hilos, tejidos de fibras textiles. ",20.9,Trimestral,Externo
2004-06-01,Artículos textiles excluido prendas de vestir.,9.8,Trimestral,Externo
2004-06-01,Tejidos de punto o ganchillo excluido prendas de vestir y peletería.,8.2,Trimestral,Externo
2004-06-01,Prendas de vestir.,587.5,Trimestral,Externo
