Fechas,Variable,Valores,Periodicidad,Sector
2000-01-01,BANANO:     Valor,124.2,Anual,Externo
2000-01-01,BANANO:     Volumen Cajas 40 Lbs.,20686.3,Anual,Externo
2000-01-01,BANANO:     Precio,6.01,Anual,Externo
2000-01-01,CAFÉ:     Valor,362.5,Anual,Externo
2000-01-01,CAFÉ:     Volumen Sacos 60 Kg.,3100.9,Anual,Externo
2000-01-01,CAFÉ:     Precio,116.9,Anual,Externo
2000-01-01,CAFÉ:     Volumen Sacos 46 Kg.,4044.5,Anual,Externo
2000-01-01,CAFÉ:     Precio,89.63,Anual,Externo
2000-01-01,MADERA:     Valor,33.5,Anual,Externo
2000-01-01,MADERA:     Volumen P.T.,44178.6,Anual,Externo
2000-01-01,MADERA:     Precio,0.76,Anual,Externo
2000-01-01,ACEÍTE DE PALMA:     Valor,16.3,Anual,Externo
2000-01-01,ACEÍTE DE PALMA:     Volumen Kilos ,27000.0,Anual,Externo
2000-01-01,ACEÍTE DE PALMA:     Precio,0.6,Anual,Externo
2000-01-01,PLATA:     Valor,2.7,Anual,Externo
2000-01-01,PLATA:     Volumen Onzas Troy,1053.8,Anual,Externo
2000-01-01,PLATA:     Precio,2.52,Anual,Externo
2000-01-01,PLOMO:     Valor,1.0,Anual,Externo
2000-01-01,PLOMO:     Volumen Libras,8307.3,Anual,Externo
2000-01-01,PLOMO:     Precio,0.12,Anual,Externo
2000-01-01,ZINC:     Valor,18.4,Anual,Externo
2000-01-01,ZINC:     Volumen Libras,85865.6,Anual,Externo
2000-01-01,ZINC:     Precio,0.21,Anual,Externo
2000-01-01,AZÚCAR:     Valor,7.8,Anual,Externo
2000-01-01,AZÚCAR:     Volumen Kilos,25498.7,Anual,Externo
2000-01-01,AZÚCAR:     Precio,0.31,Anual,Externo
2000-01-01,CAMARÓN CULTIVADO:     Valor,90.6,Anual,Externo
2000-01-01,CAMARÓN CULTIVADO:     Volumen Kilos,8273.0,Anual,Externo
2000-01-01,CAMARÓN CULTIVADO:     Precio,10.95,Anual,Externo
2000-01-01,CAMARÓN DE EXTRACCIÓN:     Valor,29.4,Anual,Externo
2000-01-01,CAMARÓN DE EXTRACCIÓN:     Volumen Kilos,2688.1,Anual,Externo
2000-01-01,CAMARÓN DE EXTRACCIÓN:     Precio,10.95,Anual,Externo
2000-01-01,LANGOSTAS:     Valor,23.4,Anual,Externo
2000-01-01,LANGOSTAS:     Volumen Kilos,897.0,Anual,Externo
2000-01-01,LANGOSTAS:     Precio,26.06,Anual,Externo
2000-01-01,TILAPIAS:     Valor,5.3,Anual,Externo
2000-01-01,TILAPIAS:     Volumen Kilos,1103.8,Anual,Externo
2000-01-01,TILAPIAS:     Precio,4.8,Anual,Externo
2000-01-01,MELONES Y SANDÍAS:     Valor,34.4,Anual,Externo
2000-01-01,MELONES Y SANDÍAS:     Volumen Kilos,132402.5,Anual,Externo
2000-01-01,MELONES Y SANDÍAS:     Precio,0.26,Anual,Externo
2000-01-01,PIÑAS:     Valor,11.3,Anual,Externo
2000-01-01,PIÑAS:     Volumen Kilos,41710.0,Anual,Externo
2000-01-01,PIÑAS:     Precio,0.27,Anual,Externo
2000-01-01,LEGUMBRES Y HORTALIZAS:     Valor,16.5,Anual,Externo
2000-01-01,LEGUMBRES Y HORTALIZAS:     Volumen Kilos,54724.3,Anual,Externo
2000-01-01,LEGUMBRES Y HORTALIZAS:     Precio,0.3,Anual,Externo
2000-01-01,PREPARACIONES LEGUMBRES Y FRUTAS:     Valor,20.7,Anual,Externo
2000-01-01,PREPARACIONES LEGUMBRES Y FRUTAS:     Volumen Kilos,32107.9,Anual,Externo
2000-01-01,PREPARACIONES LEGUMBRES Y FRUTAS:     Precio,0.65,Anual,Externo
2000-01-01,PUROS O CIGARROS:     Valor,10.5,Anual,Externo
2000-01-01,PUROS O CIGARROS:     Volumen Kilos,1067.2,Anual,Externo
2000-01-01,PUROS O CIGARROS:     Precio,9.82,Anual,Externo
2000-01-01,CIGARRILLOS:     Valor,6.9,Anual,Externo
2000-01-01,CIGARRILLOS:     Volumen Kilos,1581.2,Anual,Externo
2000-01-01,CIGARRILLOS:     Precio,4.39,Anual,Externo
2000-01-01,TABACO:     Valor,12.6,Anual,Externo
2000-01-01,TABACO:     Volumen Kilos,4606.3,Anual,Externo
2000-01-01,TABACO:     Precio,2.75,Anual,Externo
2000-01-01,MANUFACTURAS DE MADERA:     Valor,32.0,Anual,Externo
2000-01-01,MANUFACTURAS DE MADERA:     Volumen Kilos,46338.0,Anual,Externo
