Fechas,Variable,Valores,Periodicidad,Sector
2003-01-01,METALES Y SUS MANUFACTURAS:     Valor,38.3,Anual,Externo
2003-01-01,METALES Y SUS MANUFACTURAS:     Volumen ,160987.8,Anual,Externo
2003-01-01,METALES Y SUS MANUFACTURAS:     Precio,0.24,Anual,Externo
2003-01-01,CEREALES:     Valor,1.6,Anual,Externo
2003-01-01,CEREALES:     Volumen ,7677.9,Anual,Externo
2003-01-01,CEREALES:     Precio,0.21,Anual,Externo
2003-01-01,SEMILLAS:     Valor,1.8,Anual,Externo
2003-01-01,SEMILLAS:     Volumen ,5379.1,Anual,Externo
2003-01-01,SEMILLAS:     Precio,0.33,Anual,Externo
2003-01-01,CALZADO:     Valor,2.0,Anual,Externo
2003-01-01,CALZADO:     Volumen ,2451.4,Anual,Externo
2003-01-01,CALZADO:     Precio,0.82,Anual,Externo
2003-01-01,PREPARACIONES ALIMENTICIAS:     Valor,12.8,Anual,Externo
2003-01-01,PREPARACIONES ALIMENTICIAS:     Volumen ,13773.6,Anual,Externo
2003-01-01,PREPARACIONES ALIMENTICIAS:     Precio,0.93,Anual,Externo
2003-01-01,PRODUCTOS LACTEOS:     Valor,8.8,Anual,Externo
2003-01-01,PRODUCTOS LACTEOS:     Volumen ,9143.4,Anual,Externo
2003-01-01,PRODUCTOS LACTEOS:     Precio,0.96,Anual,Externo
2003-01-01,PINTURAS Y BARNICES:     Valor,5.6,Anual,Externo
2003-01-01,PINTURAS Y BARNICES:     Volumen ,7429.7,Anual,Externo
2003-01-01,PINTURAS Y BARNICES:     Precio,0.76,Anual,Externo
2003-01-01,CACAO Y SUS PREPARACIONES:     Valor,3.2,Anual,Externo
2003-01-01,CACAO Y SUS PREPARACIONES:     Volumen ,1397.2,Anual,Externo
2003-01-01,CACAO Y SUS PREPARACIONES:     Precio,2.27,Anual,Externo
2003-01-01,"MANUFACTURAS DE PIEDRA, YESO Y CEMENTO:     Valor",3.7,Anual,Externo
2003-01-01,"MANUFACTURAS DE PIEDRA, YESO Y CEMENTO:     Volumen ",79600.4,Anual,Externo
2003-01-01,"MANUFACTURAS DE PIEDRA, YESO Y CEMENTO:     Precio",0.05,Anual,Externo
2003-01-01,NARANJAS Y TORONJAS:     Valor,7.0,Anual,Externo
2003-01-01,NARANJAS Y TORONJAS:     Volumen ,73383.8,Anual,Externo
2003-01-01,NARANJAS Y TORONJAS:     Precio,0.1,Anual,Externo
