Fechas,Variable,Valores,Periodicidad,Sector
2004-03-01,METALES Y SUS MANUFACTURAS:     Valor,10.3,Trimestral,Externo
2004-03-01,METALES Y SUS MANUFACTURAS:     Volumen ,22981.5,Trimestral,Externo
2004-03-01,METALES Y SUS MANUFACTURAS:     Precio,0.45,Trimestral,Externo
2004-03-01,CEREALES:     Valor,0.6,Trimestral,Externo
2004-03-01,CEREALES:     Volumen,2791.9,Trimestral,Externo
2004-03-01,CEREALES:     Precio,0.23,Trimestral,Externo
2004-03-01,SEMILLAS:     Valor,0.5,Trimestral,Externo
2004-03-01,SEMILLAS:     Volumen,402.0,Trimestral,Externo
2004-03-01,SEMILLAS:     Precio,1.31,Trimestral,Externo
2004-03-01,CALZADO:     Valor,0.3,Trimestral,Externo
2004-03-01,CALZADO:     Volumen,186.3,Trimestral,Externo
2004-03-01,CALZADO:     Precio,1.38,Trimestral,Externo
2004-03-01,PREPARACIONES ALIMENTICIAS:     Valor,2.2,Trimestral,Externo
2004-03-01,PREPARACIONES ALIMENTICIAS:     Volumen,1756.2,Trimestral,Externo
2004-03-01,PREPARACIONES ALIMENTICIAS:     Precio,1.28,Trimestral,Externo
2004-03-01,PRODUCTOS LACTEOS:     Valor,2.5,Trimestral,Externo
2004-03-01,PRODUCTOS LACTEOS:     Volumen,2019.9,Trimestral,Externo
2004-03-01,PRODUCTOS LACTEOS:     Precio,1.24,Trimestral,Externo
2004-03-01,PINTURAS Y BARNICES:     Valor,1.3,Trimestral,Externo
2004-03-01,PINTURAS Y BARNICES:     Volumen,1469.1,Trimestral,Externo
2004-03-01,PINTURAS Y BARNICES:     Precio,0.89,Trimestral,Externo
2004-03-01,CACAO Y SUS PREPARACIONES:     Valor,1.0,Trimestral,Externo
2004-03-01,CACAO Y SUS PREPARACIONES:     Volumen,424.0,Trimestral,Externo
2004-03-01,CACAO Y SUS PREPARACIONES:     Precio,2.43,Trimestral,Externo
2004-03-01,"MANUFACTURAS DE PIERA, YESO Y CEMENTO:     Valor",1.0,Trimestral,Externo
2004-03-01,"MANUFACTURAS DE PIERA, YESO Y CEMENTO:     Volumen",4077.5,Trimestral,Externo
2004-03-01,"MANUFACTURAS DE PIERA, YESO Y CEMENTO:     Precio",0.25,Trimestral,Externo
2004-03-01,NARANJAS Y TORONJAS:     Valor,1.2,Trimestral,Externo
2004-03-01,NARANJAS Y TORONJAS:     Volumen,18759.6,Trimestral,Externo
2004-03-01,NARANJAS Y TORONJAS:     Precio,0.06,Trimestral,Externo
2004-03-01,BETUNES Y CREMAS PARA EL CALZADO:     Valor,1.0,Trimestral,Externo
2004-03-01,BETUNES Y CREMAS PARA EL CALZADO:     Volumen,273.0,Trimestral,Externo
2004-03-01,BETUNES Y CREMAS PARA EL CALZADO:     Precio,3.62,Trimestral,Externo
2004-03-01,PRODUCTOS DE TOCADOR:     Valor,0.4,Trimestral,Externo
2004-03-01,PRODUCTOS DE TOCADOR:     Volumen,123.0,Trimestral,Externo
2004-03-01,PRODUCTOS DE TOCADOR:     Precio,3.54,Trimestral,Externo
2004-03-01,SUB-TOTAL OTROS PRODUCTOS,22.5,Trimestral,Externo
2004-03-01,LOS DEMAS OTROS PRODUCTOS,52.0,Trimestral,Externo
2004-03-01,TOTAL OTROS PRODUCTOS,74.5,Trimestral,Externo
2004-06-01,METALES Y SUS MANUFACTURAS:     Valor,9.2,Trimestral,Externo
2004-06-01,METALES Y SUS MANUFACTURAS:     Volumen ,18521.5,Trimestral,Externo
2004-06-01,METALES Y SUS MANUFACTURAS:     Precio,0.49,Trimestral,Externo
2004-06-01,CEREALES:     Valor,1.5,Trimestral,Externo
2004-06-01,CEREALES:     Volumen,11750.4,Trimestral,Externo
2004-06-01,CEREALES:     Precio,0.13,Trimestral,Externo
2004-06-01,SEMILLAS:     Valor,0.5,Trimestral,Externo
2004-06-01,SEMILLAS:     Volumen,262.3,Trimestral,Externo
2004-06-01,SEMILLAS:     Precio,1.98,Trimestral,Externo
2004-06-01,CALZADO:     Valor,0.4,Trimestral,Externo
2004-06-01,CALZADO:     Volumen,277.7,Trimestral,Externo
2004-06-01,CALZADO:     Precio,1.54,Trimestral,Externo
2004-06-01,PREPARACIONES ALIMENTICIAS:     Valor,1.5,Trimestral,Externo
2004-06-01,PREPARACIONES ALIMENTICIAS:     Volumen,1351.9,Trimestral,Externo
2004-06-01,PREPARACIONES ALIMENTICIAS:     Precio,1.09,Trimestral,Externo
2004-06-01,PRODUCTOS LACTEOS:     Valor,2.8,Trimestral,Externo
