Fechas,Variable,Valores,Periodicidad,Sector
1999-01-01,IPC,91.7,Mes,Precios
1999-02-01,IPC,92.5,Mes,Precios
1999-03-01,IPC,92.8,Mes,Precios
1999-04-01,IPC,93.1,Mes,Precios
1999-05-01,IPC,93.8,Mes,Precios
1999-06-01,IPC,94.9,Mes,Precios
1999-07-01,IPC,95.7,Mes,Precios
1999-08-01,IPC,96.4,Mes,Precios
1999-09-01,IPC,97.1,Mes,Precios
1999-10-01,IPC,98.0,Mes,Precios
1999-11-01,IPC,99.0,Mes,Precios
1999-12-01,IPC,100.0,Mes,Precios
2000-01-01,IPC,100.5,Mes,Precios
2000-02-01,IPC,102.0,Mes,Precios
2000-03-01,IPC,103.0,Mes,Precios
2000-04-01,IPC,104.3,Mes,Precios
2000-05-01,IPC,105.3,Mes,Precios
2000-06-01,IPC,106.3,Mes,Precios
2000-07-01,IPC,107.0,Mes,Precios
2000-08-01,IPC,107.5,Mes,Precios
2000-09-01,IPC,107.7,Mes,Precios
2000-10-01,IPC,108.3,Mes,Precios
2000-11-01,IPC,109.5,Mes,Precios
2000-12-01,IPC,110.1,Mes,Precios
2001-01-01,IPC,111.1,Mes,Precios
2001-02-01,IPC,112.5,Mes,Precios
2001-03-01,IPC,113.5,Mes,Precios
2001-04-01,IPC,114.2,Mes,Precios
2001-05-01,IPC,115.6,Mes,Precios
2001-06-01,IPC,116.3,Mes,Precios
2001-07-01,IPC,116.9,Mes,Precios
2001-08-01,IPC,117.7,Mes,Precios
2001-09-01,IPC,118.6,Mes,Precios
2001-10-01,IPC,118.8,Mes,Precios
2001-11-01,IPC,119.4,Mes,Precios
2001-12-01,IPC,119.8,Mes,Precios
2002-01-01,IPC,120.2,Mes,Precios
2002-02-01,IPC,121.5,Mes,Precios
2002-03-01,IPC,122.2,Mes,Precios
2002-04-01,IPC,123.1,Mes,Precios
2002-05-01,IPC,123.7,Mes,Precios
2002-06-01,IPC,125.1,Mes,Precios
2002-07-01,IPC,126.1,Mes,Precios
2002-08-01,IPC,126.9,Mes,Precios
2002-09-01,IPC,127.1,Mes,Precios
2002-10-01,IPC,127.8,Mes,Precios
