Fechas,Variable,Valores,Periodicidad,Sector
1991-01-01,Central Metropolitana,26.4462,Mes,Precios
1991-02-01,Central Metropolitana,27.3404,Mes,Precios
1991-03-01,Central Metropolitana,27.565,Mes,Precios
1991-04-01,Central Metropolitana,28.2526,Mes,Precios
1991-05-01,Central Metropolitana,28.5116,Mes,Precios
1991-06-01,Central Metropolitana,28.884,Mes,Precios
1991-07-01,Central Metropolitana,29.398,Mes,Precios
1991-08-01,Central Metropolitana,29.7008,Mes,Precios
1991-09-01,Central Metropolitana,29.6812,Mes,Precios
1991-10-01,Central Metropolitana,29.8995,Mes,Precios
1991-11-01,Central Metropolitana,30.0348,Mes,Precios
1991-12-01,Central Metropolitana,30.1404,Mes,Precios
1992-01-01,Central Metropolitana,30.2734,Mes,Precios
1992-02-01,Central Metropolitana,30.6435,Mes,Precios
1992-03-01,Central Metropolitana,30.6552,Mes,Precios
1992-04-01,Central Metropolitana,30.9455,Mes,Precios
1992-05-01,Central Metropolitana,31.145,Mes,Precios
1992-06-01,Central Metropolitana,31.2537,Mes,Precios
1992-07-01,Central Metropolitana,31.3969,Mes,Precios
1992-08-01,Central Metropolitana,31.4814,Mes,Precios
1992-09-01,Central Metropolitana,31.4336,Mes,Precios
1992-10-01,Central Metropolitana,31.594,Mes,Precios
1992-11-01,Central Metropolitana,31.939,Mes,Precios
1992-12-01,Central Metropolitana,32.1002,Mes,Precios
1993-01-01,Central Metropolitana,32.3286,Mes,Precios
1993-02-01,Central Metropolitana,32.6087,Mes,Precios
1993-03-01,Central Metropolitana,32.8043,Mes,Precios
1993-04-01,Central Metropolitana,33.3379,Mes,Precios
1993-05-01,Central Metropolitana,33.6179,Mes,Precios
1993-06-01,Central Metropolitana,34.0498,Mes,Precios
1993-07-01,Central Metropolitana,34.6882,Mes,Precios
1993-08-01,Central Metropolitana,35.3907,Mes,Precios
1993-09-01,Central Metropolitana,35.1615,Mes,Precios
1993-10-01,Central Metropolitana,35.2929,Mes,Precios
1993-11-01,Central Metropolitana,35.6426,Mes,Precios
1993-12-01,Central Metropolitana,35.8992,Mes,Precios
1994-01-01,Central Metropolitana,36.4907,Mes,Precios
1994-02-01,Central Metropolitana,37.4491,Mes,Precios
1994-03-01,Central Metropolitana,37.7377,Mes,Precios
1994-04-01,Central Metropolitana,38.5443,Mes,Precios
1994-05-01,Central Metropolitana,39.9549,Mes,Precios
1994-06-01,Central Metropolitana,40.7513,Mes,Precios
1994-07-01,Central Metropolitana,41.6573,Mes,Precios
1994-08-01,Central Metropolitana,42.7447,Mes,Precios
