Fechas,Variable,Valores,Periodicidad,Sector
1991-01-01,Alimentos y Bebidas no Alcohólicas,23.819,Mes,Precios
1991-02-01,Alimentos y Bebidas no Alcohólicas,24.9873,Mes,Precios
1991-03-01,Alimentos y Bebidas no Alcohólicas,25.4516,Mes,Precios
1991-04-01,Alimentos y Bebidas no Alcohólicas,25.8855,Mes,Precios
1991-05-01,Alimentos y Bebidas no Alcohólicas,26.6024,Mes,Precios
1991-06-01,Alimentos y Bebidas no Alcohólicas,27.5316,Mes,Precios
1991-07-01,Alimentos y Bebidas no Alcohólicas,28.5021,Mes,Precios
1991-08-01,Alimentos y Bebidas no Alcohólicas,29.0512,Mes,Precios
1991-09-01,Alimentos y Bebidas no Alcohólicas,28.6795,Mes,Precios
1991-10-01,Alimentos y Bebidas no Alcohólicas,28.6541,Mes,Precios
1991-11-01,Alimentos y Bebidas no Alcohólicas,28.6975,Mes,Precios
1991-12-01,Alimentos y Bebidas no Alcohólicas,28.6728,Mes,Precios
1992-01-01,Alimentos y Bebidas no Alcohólicas,28.6797,Mes,Precios
1992-02-01,Alimentos y Bebidas no Alcohólicas,29.1132,Mes,Precios
1992-03-01,Alimentos y Bebidas no Alcohólicas,28.4759,Mes,Precios
1992-04-01,Alimentos y Bebidas no Alcohólicas,28.6106,Mes,Precios
1992-05-01,Alimentos y Bebidas no Alcohólicas,29.3999,Mes,Precios
1992-06-01,Alimentos y Bebidas no Alcohólicas,28.7064,Mes,Precios
1992-07-01,Alimentos y Bebidas no Alcohólicas,28.9038,Mes,Precios
1992-08-01,Alimentos y Bebidas no Alcohólicas,29.0385,Mes,Precios
1992-09-01,Alimentos y Bebidas no Alcohólicas,28.8687,Mes,Precios
1992-10-01,Alimentos y Bebidas no Alcohólicas,28.9388,Mes,Precios
1992-11-01,Alimentos y Bebidas no Alcohólicas,29.3889,Mes,Precios
1992-12-01,Alimentos y Bebidas no Alcohólicas,29.9644,Mes,Precios
1993-01-01,Alimentos y Bebidas no Alcohólicas,30.0012,Mes,Precios
1993-02-01,Alimentos y Bebidas no Alcohólicas,30.0548,Mes,Precios
1993-03-01,Alimentos y Bebidas no Alcohólicas,30.3202,Mes,Precios
1993-04-01,Alimentos y Bebidas no Alcohólicas,31.0266,Mes,Precios
1993-05-01,Alimentos y Bebidas no Alcohólicas,31.3469,Mes,Precios
1993-06-01,Alimentos y Bebidas no Alcohólicas,32.4359,Mes,Precios
1993-07-01,Alimentos y Bebidas no Alcohólicas,34.4662,Mes,Precios
1993-08-01,Alimentos y Bebidas no Alcohólicas,34.6156,Mes,Precios
1993-09-01,Alimentos y Bebidas no Alcohólicas,33.7153,Mes,Precios
1993-10-01,Alimentos y Bebidas no Alcohólicas,33.9075,Mes,Precios
1993-11-01,Alimentos y Bebidas no Alcohólicas,34.1935,Mes,Precios
1993-12-01,Alimentos y Bebidas no Alcohólicas,34.4154,Mes,Precios
1994-01-01,Alimentos y Bebidas no Alcohólicas,35.9205,Mes,Precios
1994-02-01,Alimentos y Bebidas no Alcohólicas,37.1197,Mes,Precios
1994-03-01,Alimentos y Bebidas no Alcohólicas,37.4982,Mes,Precios
1994-04-01,Alimentos y Bebidas no Alcohólicas,38.5491,Mes,Precios
1994-05-01,Alimentos y Bebidas no Alcohólicas,40.8149,Mes,Precios
1994-06-01,Alimentos y Bebidas no Alcohólicas,42.2337,Mes,Precios
1994-07-01,Alimentos y Bebidas no Alcohólicas,43.3921,Mes,Precios
1994-08-01,Alimentos y Bebidas no Alcohólicas,44.499,Mes,Precios
1994-09-01,Alimentos y Bebidas no Alcohólicas,44.3843,Mes,Precios
1994-10-01,Alimentos y Bebidas no Alcohólicas,45.3493,Mes,Precios
1994-11-01,Alimentos y Bebidas no Alcohólicas,47.0429,Mes,Precios
1994-12-01,Alimentos y Bebidas no Alcohólicas,47.5962,Mes,Precios
1995-01-01,Alimentos y Bebidas no Alcohólicas,48.9269,Mes,Precios
1995-02-01,Alimentos y Bebidas no Alcohólicas,51.1999,Mes,Precios
1995-03-01,Alimentos y Bebidas no Alcohólicas,51.8846,Mes,Precios
1995-04-01,Alimentos y Bebidas no Alcohólicas,52.6329,Mes,Precios
1995-05-01,Alimentos y Bebidas no Alcohólicas,52.9143,Mes,Precios
1995-06-01,Alimentos y Bebidas no Alcohólicas,53.2014,Mes,Precios
1995-07-01,Alimentos y Bebidas no Alcohólicas,53.7375,Mes,Precios
1995-08-01,Alimentos y Bebidas no Alcohólicas,54.1982,Mes,Precios
1995-09-01,Alimentos y Bebidas no Alcohólicas,54.5768,Mes,Precios
1995-10-01,Alimentos y Bebidas no Alcohólicas,55.6615,Mes,Precios
1995-11-01,Alimentos y Bebidas no Alcohólicas,56.7446,Mes,Precios
1995-12-01,Alimentos y Bebidas no Alcohólicas,58.2701,Mes,Precios
1996-01-01,Alimentos y Bebidas no Alcohólicas,58.222,Mes,Precios
1996-02-01,Alimentos y Bebidas no Alcohólicas,59.6497,Mes,Precios
1996-03-01,Alimentos y Bebidas no Alcohólicas,60.3045,Mes,Precios
1996-04-01,Alimentos y Bebidas no Alcohólicas,61.7522,Mes,Precios
1996-05-01,Alimentos y Bebidas no Alcohólicas,63.5986,Mes,Precios
1996-06-01,Alimentos y Bebidas no Alcohólicas,66.4373,Mes,Precios
1996-07-01,Alimentos y Bebidas no Alcohólicas,68.981,Mes,Precios
1996-08-01,Alimentos y Bebidas no Alcohólicas,71.5668,Mes,Precios
1996-09-01,Alimentos y Bebidas no Alcohólicas,71.9099,Mes,Precios
1996-10-01,Alimentos y Bebidas no Alcohólicas,72.0486,Mes,Precios
1996-11-01,Alimentos y Bebidas no Alcohólicas,73.1889,Mes,Precios
1996-12-01,Alimentos y Bebidas no Alcohólicas,73.4633,Mes,Precios
1997-01-01,Alimentos y Bebidas no Alcohólicas,75.69052604100364,Mes,Precios
1997-02-01,Alimentos y Bebidas no Alcohólicas,77.23527466078578,Mes,Precios
1997-03-01,Alimentos y Bebidas no Alcohólicas,77.54788670707882,Mes,Precios
1997-04-01,Alimentos y Bebidas no Alcohólicas,77.46653195107605,Mes,Precios
1997-05-01,Alimentos y Bebidas no Alcohólicas,78.57728016627387,Mes,Precios
1997-06-01,Alimentos y Bebidas no Alcohólicas,79.86399501406515,Mes,Precios
1997-07-01,Alimentos y Bebidas no Alcohólicas,81.80466841845546,Mes,Precios
1997-08-01,Alimentos y Bebidas no Alcohólicas,83.1623971149703,Mes,Precios
1997-09-01,Alimentos y Bebidas no Alcohólicas,82.45991524501567,Mes,Precios
1997-10-01,Alimentos y Bebidas no Alcohólicas,81.47376412892143,Mes,Precios
1997-11-01,Alimentos y Bebidas no Alcohólicas,81.69224938472435,Mes,Precios
1997-12-01,Alimentos y Bebidas no Alcohólicas,81.55108706002181,Mes,Precios
1998-01-01,Alimentos y Bebidas no Alcohólicas,82.66467817301685,Mes,Precios
1998-02-01,Alimentos y Bebidas no Alcohólicas,84.82663735164657,Mes,Precios
1998-03-01,Alimentos y Bebidas no Alcohólicas,86.8094056994664,Mes,Precios
1998-04-01,Alimentos y Bebidas no Alcohólicas,89.47321318969085,Mes,Precios
1998-05-01,Alimentos y Bebidas no Alcohólicas,90.85909290124474,Mes,Precios
1998-06-01,Alimentos y Bebidas no Alcohólicas,91.53361836720747,Mes,Precios
1998-07-01,Alimentos y Bebidas no Alcohólicas,92.76496263802318,Mes,Precios
1998-08-01,Alimentos y Bebidas no Alcohólicas,92.37418329437459,Mes,Precios
1998-09-01,Alimentos y Bebidas no Alcohólicas,91.77090305620855,Mes,Precios
1998-10-01,Alimentos y Bebidas no Alcohólicas,91.47011179956269,Mes,Precios
1998-11-01,Alimentos y Bebidas no Alcohólicas,93.15300498069834,Mes,Precios
1998-12-01,Alimentos y Bebidas no Alcohólicas,94.10207530509771,Mes,Precios
1999-01-01,Alimentos y Bebidas no Alcohólicas,96.62253077664471,Mes,Precios
1999-02-01,Alimentos y Bebidas no Alcohólicas,96.54001860593874,Mes,Precios
1999-03-01,Alimentos y Bebidas no Alcohólicas,95.83016125101783,Mes,Precios
1999-04-01,Alimentos y Bebidas no Alcohólicas,95.86540450223048,Mes,Precios
1999-05-01,Alimentos y Bebidas no Alcohólicas,96.10076027581076,Mes,Precios
1999-06-01,Alimentos y Bebidas no Alcohólicas,96.65817606798302,Mes,Precios
1999-07-01,Alimentos y Bebidas no Alcohólicas,97.55928995188674,Mes,Precios
1999-08-01,Alimentos y Bebidas no Alcohólicas,97.96936277874116,Mes,Precios
1999-09-01,Alimentos y Bebidas no Alcohólicas,98.4100810927862,Mes,Precios
1999-10-01,Alimentos y Bebidas no Alcohólicas,99.1975334298305,Mes,Precios
1999-11-01,Alimentos y Bebidas no Alcohólicas,99.5065933056209,Mes,Precios
1999-12-01,Alimentos y Bebidas no Alcohólicas,100.0,Mes,Precios
2000-01-01,Alimentos y Bebidas no Alcohólicas,99.953024420809,Mes,Precios
2000-02-01,Alimentos y Bebidas no Alcohólicas,100.35880239967304,Mes,Precios
2000-03-01,Alimentos y Bebidas no Alcohólicas,101.42757144990554,Mes,Precios
2000-04-01,Alimentos y Bebidas no Alcohólicas,103.76547697182588,Mes,Precios
2000-05-01,Alimentos y Bebidas no Alcohólicas,104.40183355510258,Mes,Precios
2000-06-01,Alimentos y Bebidas no Alcohólicas,105.71319062637842,Mes,Precios
2000-07-01,Alimentos y Bebidas no Alcohólicas,106.45188762924806,Mes,Precios
2000-08-01,Alimentos y Bebidas no Alcohólicas,107.28460799085181,Mes,Precios
2000-09-01,Alimentos y Bebidas no Alcohólicas,106.78436720846086,Mes,Precios
2000-10-01,Alimentos y Bebidas no Alcohólicas,106.96561827864184,Mes,Precios
2000-11-01,Alimentos y Bebidas no Alcohólicas,107.63575024321138,Mes,Precios
2000-12-01,Alimentos y Bebidas no Alcohólicas,108.66016871485542,Mes,Precios
