Fechas,Variable,Valores,Periodicidad,Sector
2000-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",99.76042133805694,Mes,Real
2000-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",107.53323001771359,Mes,Real
2000-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",110.84310391061453,Mes,Real
2000-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",88.47730842076578,Mes,Real
2000-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",87.71289141572421,Mes,Real
2000-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",93.62484113639461,Mes,Real
2000-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",67.21747787164463,Mes,Real
2000-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",93.27911049189262,Mes,Real
2000-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",104.73392270064042,Mes,Real
2000-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",127.58666109824226,Mes,Real
2000-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",111.90178616977789,Mes,Real
2000-12-01,"Agricultura, Ganadería, Silvicultura y Pesca ",107.32944010083116,Mes,Real
2001-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",110.97810280692192,Mes,Real
2001-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",112.53335676522687,Mes,Real
2001-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",111.25913572693827,Mes,Real
2001-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",92.67053772993596,Mes,Real
2001-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",87.53976870145797,Mes,Real
2001-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",96.24133541354406,Mes,Real
2001-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",66.51606537675433,Mes,Real
2001-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",89.59432343643547,Mes,Real
2001-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",102.14132062951354,Mes,Real
2001-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",129.6539312440387,Mes,Real
2001-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",117.80342985420357,Mes,Real
2001-12-01,"Agricultura, Ganadería, Silvicultura y Pesca ",111.84629662079303,Mes,Real
2002-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",108.22788118272243,Mes,Real
2002-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",119.13538745060634,Mes,Real
2002-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",111.0810159558523,Mes,Real
2002-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",92.99508720534133,Mes,Real
2002-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",101.03040752146069,Mes,Real
2002-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",103.23722426761138,Mes,Real
2002-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",75.1511865649271,Mes,Real
2002-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",99.47572170595448,Mes,Real
2002-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",106.81710297043193,Mes,Real
2002-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",133.3264838125085,Mes,Real
2002-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",120.37229223327428,Mes,Real
2002-12-01,"Agricultura, Ganadería, Silvicultura y Pesca ",115.67140598174137,Mes,Real
2003-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",119.83805194168143,Mes,Real
2003-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",116.61947768088295,Mes,Real
2003-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",119.62542017986101,Mes,Real
2003-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",92.22734204932551,Mes,Real
2003-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",107.8567432211473,Mes,Real
2003-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",108.74694248535222,Mes,Real
2003-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",80.37293877912522,Mes,Real
2003-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",101.24407266657582,Mes,Real
2003-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",109.33371517917973,Mes,Real
2003-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",135.42541542444474,Mes,Real
2003-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",119.50860209837852,Mes,Real
2003-12-01,"Agricultura, Ganadería, Silvicultura y Pesca ",120.66658198664668,Mes,Real
2004-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",119.57123997819866,Mes,Real
2004-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",128.01262843711677,Mes,Real
2004-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",135.950674792206,Mes,Real
2004-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",108.23425271835399,Mes,Real
2004-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",114.94259856928737,Mes,Real
2004-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",120.95100783485488,Mes,Real
2004-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",82.78067199890992,Mes,Real
2004-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",103.89656457283009,Mes,Real
2004-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",114.76394292137891,Mes,Real
2004-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",145.20888307671345,Mes,Real
2004-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",132.56944358904482,Mes,Real
2004-12-01,"Agricultura, Ganadería, Silvicultura y Pesca ",127.30568697370214,Mes,Real
2005-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",121.59784594631421,Mes,Real
2005-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",123.30840230276604,Mes,Real
2005-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",128.065367134487,Mes,Real
2005-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",123.13820220738519,Mes,Real
2005-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",109.25824635508924,Mes,Real
2005-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",112.16875089249216,Mes,Real
2005-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",88.8086688785938,Mes,Real
2005-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",103.87170850252078,Mes,Real
2005-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",120.14219861016485,Mes,Real
2005-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",145.94308351274015,Mes,Real
2005-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",125.89116537675432,Mes,Real
2005-12-01,"Agricultura, Ganadería, Silvicultura y Pesca ",107.91109596675297,Mes,Real
2006-01-01,"Agricultura, Ganadería, Silvicultura y Pesca ",125.03599990461916,Mes,Real
2006-02-01,"Agricultura, Ganadería, Silvicultura y Pesca ",134.9032143752555,Mes,Real
2006-03-01,"Agricultura, Ganadería, Silvicultura y Pesca ",130.50220625425806,Mes,Real
2006-04-01,"Agricultura, Ganadería, Silvicultura y Pesca ",108.75325371303992,Mes,Real
2006-05-01,"Agricultura, Ganadería, Silvicultura y Pesca ",128.63387296634417,Mes,Real
2006-06-01,"Agricultura, Ganadería, Silvicultura y Pesca ",122.53053560430575,Mes,Real
2006-07-01,"Agricultura, Ganadería, Silvicultura y Pesca ",87.59025318163238,Mes,Real
2006-08-01,"Agricultura, Ganadería, Silvicultura y Pesca ",112.6739719852841,Mes,Real
2006-09-01,"Agricultura, Ganadería, Silvicultura y Pesca ",123.8236538220466,Mes,Real
2006-10-01,"Agricultura, Ganadería, Silvicultura y Pesca ",151.95441704591906,Mes,Real
2006-11-01,"Agricultura, Ganadería, Silvicultura y Pesca ",143.96630681291728,Mes,Real
