Fechas,Variable,Valores,Periodicidad,Sector
2000-01-01,IMAE_Original,96.0386,Mes,Real
2000-02-01,IMAE_Original,100.3128,Mes,Real
2000-03-01,IMAE_Original,103.672,Mes,Real
2000-04-01,IMAE_Original,91.3137,Mes,Real
2000-05-01,IMAE_Original,98.5438,Mes,Real
2000-06-01,IMAE_Original,98.2514,Mes,Real
2000-07-01,IMAE_Original,93.0855,Mes,Real
2000-08-01,IMAE_Original,101.5335,Mes,Real
2000-09-01,IMAE_Original,99.2885,Mes,Real
2000-10-01,IMAE_Original,104.8025,Mes,Real
2000-11-01,IMAE_Original,103.3761,Mes,Real
2000-12-01,IMAE_Original,109.7818,Mes,Real
2001-01-01,IMAE_Original,100.1418,Mes,Real
2001-02-01,IMAE_Original,102.896,Mes,Real
2001-03-01,IMAE_Original,108.8777,Mes,Real
2001-04-01,IMAE_Original,99.0866,Mes,Real
2001-05-01,IMAE_Original,104.2303,Mes,Real
2001-06-01,IMAE_Original,104.6171,Mes,Real
2001-07-01,IMAE_Original,99.7508,Mes,Real
2001-08-01,IMAE_Original,102.928,Mes,Real
2001-09-01,IMAE_Original,101.8193,Mes,Real
2001-10-01,IMAE_Original,109.296,Mes,Real
2001-11-01,IMAE_Original,107.967,Mes,Real
2001-12-01,IMAE_Original,113.607,Mes,Real
2002-01-01,IMAE_Original,102.3209,Mes,Real
2002-02-01,IMAE_Original,104.4319,Mes,Real
2002-03-01,IMAE_Original,106.095,Mes,Real
2002-04-01,IMAE_Original,105.9676,Mes,Real
2002-05-01,IMAE_Original,111.1092,Mes,Real
2002-06-01,IMAE_Original,108.8851,Mes,Real
2002-07-01,IMAE_Original,109.4829,Mes,Real
2002-08-01,IMAE_Original,111.6277,Mes,Real
2002-09-01,IMAE_Original,111.4889,Mes,Real
2002-10-01,IMAE_Original,117.9075,Mes,Real
2002-11-01,IMAE_Original,117.5262,Mes,Real
2002-12-01,IMAE_Original,122.7176,Mes,Real
2003-01-01,IMAE_Original,109.1371,Mes,Real
2003-02-01,IMAE_Original,111.9761,Mes,Real
2003-03-01,IMAE_Original,118.3521,Mes,Real
2003-04-01,IMAE_Original,108.2713,Mes,Real
2003-05-01,IMAE_Original,116.4152,Mes,Real
2003-06-01,IMAE_Original,116.6213,Mes,Real
2003-07-01,IMAE_Original,114.9263,Mes,Real
2003-08-01,IMAE_Original,115.5748,Mes,Real
2003-09-01,IMAE_Original,118.2305,Mes,Real
2003-10-01,IMAE_Original,126.5874,Mes,Real
2003-11-01,IMAE_Original,122.4429,Mes,Real
2003-12-01,IMAE_Original,132.5305,Mes,Real
2004-01-01,IMAE_Original,115.0155,Mes,Real
2004-02-01,IMAE_Original,120.481,Mes,Real
2004-03-01,IMAE_Original,132.3363,Mes,Real
2004-04-01,IMAE_Original,118.2144,Mes,Real
2004-05-01,IMAE_Original,128.5911,Mes,Real
2004-06-01,IMAE_Original,130.5475,Mes,Real
2004-07-01,IMAE_Original,123.0381,Mes,Real
2004-08-01,IMAE_Original,124.6489,Mes,Real
2004-09-01,IMAE_Original,123.8977,Mes,Real
2004-10-01,IMAE_Original,130.782,Mes,Real
2004-11-01,IMAE_Original,135.8854,Mes,Real
2004-12-01,IMAE_Original,146.7082,Mes,Real
2005-01-01,IMAE_Original,128.8818,Mes,Real
2005-02-01,IMAE_Original,129.077,Mes,Real
2005-03-01,IMAE_Original,133.7933,Mes,Real
2005-04-01,IMAE_Original,133.7965,Mes,Real
2005-05-01,IMAE_Original,133.4967,Mes,Real
2005-06-01,IMAE_Original,136.1041,Mes,Real
2005-07-01,IMAE_Original,132.3046,Mes,Real
2005-08-01,IMAE_Original,136.087,Mes,Real
2005-09-01,IMAE_Original,138.0176,Mes,Real
2005-10-01,IMAE_Original,142.0613,Mes,Real
2005-11-01,IMAE_Original,141.104,Mes,Real
2005-12-01,IMAE_Original,153.1155,Mes,Real
2006-01-01,IMAE_Original,139.3228,Mes,Real
2006-02-01,IMAE_Original,138.6567,Mes,Real
2006-03-01,IMAE_Original,149.6364,Mes,Real
2006-04-01,IMAE_Original,134.5118,Mes,Real
2006-05-01,IMAE_Original,148.9384,Mes,Real
2006-06-01,IMAE_Original,150.7152,Mes,Real
2006-07-01,IMAE_Original,143.3522,Mes,Real
2006-08-01,IMAE_Original,148.8988,Mes,Real
2006-09-01,IMAE_Original,149.0133,Mes,Real
2006-10-01,IMAE_Original,158.998,Mes,Real
2006-11-01,IMAE_Original,163.1067,Mes,Real
2006-12-01,IMAE_Original,166.5117,Mes,Real
2007-01-01,IMAE_Original,150.0783,Mes,Real
2007-02-01,IMAE_Original,156.3861,Mes,Real
2007-03-01,IMAE_Original,164.3949,Mes,Real
2007-04-01,IMAE_Original,150.2028,Mes,Real
2007-05-01,IMAE_Original,161.6483,Mes,Real
2007-06-01,IMAE_Original,160.8724,Mes,Real
2007-07-01,IMAE_Original,157.7237,Mes,Real
2007-08-01,IMAE_Original,163.926,Mes,Real
2007-09-01,IMAE_Original,158.4902,Mes,Real
2007-10-01,IMAE_Original,167.3081,Mes,Real
2007-11-01,IMAE_Original,165.822,Mes,Real
