Fechas,Variable,Valores,Periodicidad,Sector
2004-03-01,GASOLINA:        Valor ,29.8,Trimestral,Externo
2004-03-01,GASOLINA:        Barriles,0.6,Trimestral,Externo
2004-03-01,GASOLINA:        Precio,47.6,Trimestral,Externo
2004-03-01,KEROSENE:        Valor ,6.0,Trimestral,Externo
2004-03-01,KEROSENE:        Barriles,0.1,Trimestral,Externo
2004-03-01,KEROSENE:        Precio,44.73,Trimestral,Externo
2004-03-01,DIESEL:        Valor ,66.6,Trimestral,Externo
2004-03-01,DIESEL:        Barriles,1.6,Trimestral,Externo
2004-03-01,DIESEL:        Precio,42.45,Trimestral,Externo
2004-03-01,BUNKER:        Valor ,22.7,Trimestral,Externo
2004-03-01,BUNKER:        Barriles,0.8,Trimestral,Externo
2004-03-01,BUNKER:        Precio,27.02,Trimestral,Externo
2004-03-01,LPG 1/:        Valor ,6.6,Trimestral,Externo
2004-03-01,LPG 1/:        Barriles,0.2,Trimestral,Externo
2004-03-01,LPG 1/:        Precio,37.09,Trimestral,Externo
2004-03-01,TOTAL COMBUSTIBLES 2/:        Valor ,131.7,Trimestral,Externo
2004-03-01,TOTAL COMBUSTIBLES 2/:        Barriles,3.3,Trimestral,Externo
2004-03-01,TOTAL COMBUSTIBLES 2/:        Precio,39.35,Trimestral,Externo
2004-03-01,LUBRICANTES:        Valor,6.4,Trimestral,Externo
2004-03-01,ENERGIA ELECTRICA,6.1,Trimestral,Externo
2004-03-01,"TOTAL COMBUSTIBLES, LUBRICANTES Y ENERGIA ELECTRICA",144.2,Trimestral,Externo
2004-06-01,GASOLINA:        Valor ,41.7,Trimestral,Externo
2004-06-01,GASOLINA:        Barriles,0.7,Trimestral,Externo
2004-06-01,GASOLINA:        Precio,56.64,Trimestral,Externo
2004-06-01,KEROSENE:        Valor ,7.0,Trimestral,Externo
2004-06-01,KEROSENE:        Barriles,0.1,Trimestral,Externo
2004-06-01,KEROSENE:        Precio,46.84,Trimestral,Externo
2004-06-01,DIESEL:        Valor ,70.2,Trimestral,Externo
2004-06-01,DIESEL:        Barriles,1.6,Trimestral,Externo
2004-06-01,DIESEL:        Precio,44.27,Trimestral,Externo
2004-06-01,BUNKER:        Valor ,43.2,Trimestral,Externo
2004-06-01,BUNKER:        Barriles,1.5,Trimestral,Externo
2004-06-01,BUNKER:        Precio,29.54,Trimestral,Externo
2004-06-01,LPG 1/:        Valor ,5.0,Trimestral,Externo
2004-06-01,LPG 1/:        Barriles,0.1,Trimestral,Externo
2004-06-01,LPG 1/:        Precio,36.81,Trimestral,Externo
2004-06-01,TOTAL COMBUSTIBLES 2/:        Valor ,167.0,Trimestral,Externo
2004-06-01,TOTAL COMBUSTIBLES 2/:        Barriles,4.1,Trimestral,Externo
2004-06-01,TOTAL COMBUSTIBLES 2/:        Precio,41.06,Trimestral,Externo
2004-06-01,LUBRICANTES:        Valor,5.4,Trimestral,Externo
2004-06-01,ENERGIA ELECTRICA,6.6,Trimestral,Externo
2004-06-01,"TOTAL COMBUSTIBLES, LUBRICANTES Y ENERGIA ELECTRICA",179.0,Trimestral,Externo
2004-09-01,GASOLINA:        Valor ,32.6,Trimestral,Externo
2004-09-01,GASOLINA:        Barriles,0.6,Trimestral,Externo
2004-09-01,GASOLINA:        Precio,56.33,Trimestral,Externo
2004-09-01,KEROSENE:        Valor ,7.5,Trimestral,Externo
2004-09-01,KEROSENE:        Barriles,0.1,Trimestral,Externo
2004-09-01,KEROSENE:        Precio,57.01,Trimestral,Externo
2004-09-01,DIESEL:        Valor ,69.4,Trimestral,Externo
2004-09-01,DIESEL:        Barriles,1.3,Trimestral,Externo
2004-09-01,DIESEL:        Precio,51.48,Trimestral,Externo
2004-09-01,BUNKER:        Valor ,34.2,Trimestral,Externo
2004-09-01,BUNKER:        Barriles,1.2,Trimestral,Externo
