Fechas,Variable,Valores,Periodicidad,Sector
2004-03-01,1.  Animales vivos y productos del reino animal.,17.9,Trimestral,Externo
2004-03-01,2.  Productos del reino vegetal.,39.4,Trimestral,Externo
2004-03-01,3.  Grasas y aceítes animales y vegetales.,7.9,Trimestral,Externo
2004-03-01,4.  Productos industrias alimenticias.,84.2,Trimestral,Externo
2004-03-01,5.  Productos minerales.,151.2,Trimestral,Externo
2004-03-01,    5.1 Combustibles y lubricantes,144.2,Trimestral,Externo
2004-03-01,    5.2  Otros productos minerales.,7.0,Trimestral,Externo
2004-03-01,6.  Productos de industrias químicas y conexas,110.6,Trimestral,Externo
2004-03-01,7.  Materiales plásticos artificiales y sus manufacturas.,55.6,Trimestral,Externo
2004-03-01,"8.  Pieles, cueros, peletería y manufacturas.",2.6,Trimestral,Externo
2004-03-01,"9.  Madera, carbón, corcho y sus manufacturas.",4.1,Trimestral,Externo
2004-03-01,10. Materiales para fábricación de papel y artículos de papel.,56.6,Trimestral,Externo
2004-03-01,11. Materiales textiles y sus manufacturas.,24.8,Trimestral,Externo
2004-03-01,"12. Calzado, sombreria, plumas y flores.",6.5,Trimestral,Externo
2004-03-01,"13. Manufacturas de piedra, yeso, cemento y vídrio.",12.4,Trimestral,Externo
2004-03-01,"14. Perlas, piedras preciosas, metales y sus manufacturas.",0.9,Trimestral,Externo
2004-03-01,15. Metales comunes y sus manufacturas.,66.1,Trimestral,Externo
2004-03-01,"16. Máquinas, aparatos y materiales eléctricos.",257.0,Trimestral,Externo
2004-03-01,17. Material de transporte.,56.7,Trimestral,Externo
2004-03-01,"18. Instrumentos de óptica, fotografía, cine, médicos quirúrgicos y otros.",15.3,Trimestral,Externo
2004-03-01,19. Armas y municiones.,0.5,Trimestral,Externo
2004-03-01,20. Mercancías y productos diversos.,18.2,Trimestral,Externo
2004-03-01,21. Objetos de arte y colecciones.,0.0,Trimestral,Externo
2004-03-01,TOTAL IMPORTACIONES CIF,988.5,Trimestral,Externo
2004-03-01,TOTAL SIN COMBUSTIBLES,844.3,Trimestral,Externo
2004-06-01,1.  Animales vivos y productos del reino animal.,20.5,Trimestral,Externo
2004-06-01,2.  Productos del reino vegetal.,43.1,Trimestral,Externo
2004-06-01,3.  Grasas y aceítes animales y vegetales.,10.1,Trimestral,Externo
2004-06-01,4.  Productos industrias alimenticias.,88.6,Trimestral,Externo
2004-06-01,5.  Productos minerales.,183.4,Trimestral,Externo
2004-06-01,    5.1 Combustibles y lubricantes,179.0,Trimestral,Externo
2004-06-01,    5.2  Otros productos minerales.,4.4,Trimestral,Externo
2004-06-01,6.  Productos de industrias químicas y conexas,138.6,Trimestral,Externo
2004-06-01,7.  Materiales plásticos artificiales y sus manufacturas.,54.9,Trimestral,Externo
2004-06-01,"8.  Pieles, cueros, peletería y manufacturas.",1.5,Trimestral,Externo
2004-06-01,"9.  Madera, carbón, corcho y sus manufacturas.",3.3,Trimestral,Externo
2004-06-01,10. Materiales para fábricación de papel y artículos de papel.,48.9,Trimestral,Externo
2004-06-01,11. Materiales textiles y sus manufacturas.,29.3,Trimestral,Externo
2004-06-01,"12. Calzado, sombreria, plumas y flores.",5.9,Trimestral,Externo
2004-06-01,"13. Manufacturas de piedra, yeso, cemento y vídrio.",12.2,Trimestral,Externo
2004-06-01,"14. Perlas, piedras preciosas, metales y sus manufacturas.",0.7,Trimestral,Externo
2004-06-01,15. Metales comunes y sus manufacturas.,64.5,Trimestral,Externo
2004-06-01,"16. Máquinas, aparatos y materiales eléctricos.",209.5,Trimestral,Externo
2004-06-01,17. Material de transporte.,58.8,Trimestral,Externo
2004-06-01,"18. Instrumentos de óptica, fotografía, cine, médicos quirúrgicos y otros.",9.0,Trimestral,Externo
2004-06-01,19. Armas y municiones.,0.9,Trimestral,Externo
2004-06-01,20. Mercancías y productos diversos.,18.0,Trimestral,Externo
2004-06-01,21. Objetos de arte y colecciones.,0.0,Trimestral,Externo
2004-06-01,TOTAL IMPORTACIONES CIF,1002.0,Trimestral,Externo
2004-06-01,TOTAL SIN COMBUSTIBLES,822.9,Trimestral,Externo
2004-09-01,1.  Animales vivos y productos del reino animal.,18.0,Trimestral,Externo
2004-09-01,2.  Productos del reino vegetal.,48.8,Trimestral,Externo
2004-09-01,3.  Grasas y aceítes animales y vegetales.,6.0,Trimestral,Externo
2004-09-01,4.  Productos industrias alimenticias.,91.6,Trimestral,Externo
2004-09-01,5.  Productos minerales.,169.4,Trimestral,Externo
2004-09-01,    5.1 Combustibles y lubricantes,163.8,Trimestral,Externo
2004-09-01,    5.2  Otros productos minerales.,5.6,Trimestral,Externo
2004-09-01,6.  Productos de industrias químicas y conexas,130.2,Trimestral,Externo
2004-09-01,7.  Materiales plásticos artificiales y sus manufacturas.,57.3,Trimestral,Externo
2004-09-01,"8.  Pieles, cueros, peletería y manufacturas.",1.6,Trimestral,Externo
2004-09-01,"9.  Madera, carbón, corcho y sus manufacturas.",3.9,Trimestral,Externo
2004-09-01,10. Materiales para fábricación de papel y artículos de papel.,54.0,Trimestral,Externo
2004-09-01,11. Materiales textiles y sus manufacturas.,34.2,Trimestral,Externo
2004-09-01,"12. Calzado, sombreria, plumas y flores.",5.9,Trimestral,Externo
2004-09-01,"13. Manufacturas de piedra, yeso, cemento y vídrio.",13.2,Trimestral,Externo
2004-09-01,"14. Perlas, piedras preciosas, metales y sus manufacturas.",0.5,Trimestral,Externo
2004-09-01,15. Metales comunes y sus manufacturas.,93.0,Trimestral,Externo
2004-09-01,"16. Máquinas, aparatos y materiales eléctricos.",232.0,Trimestral,Externo
2004-09-01,17. Material de transporte.,63.6,Trimestral,Externo
2004-09-01,"18. Instrumentos de óptica, fotografía, cine, médicos quirúrgicos y otros.",11.4,Trimestral,Externo
2004-09-01,19. Armas y municiones.,0.5,Trimestral,Externo
2004-09-01,20. Mercancías y productos diversos.,23.4,Trimestral,Externo
2004-09-01,21. Objetos de arte y colecciones.,0.0,Trimestral,Externo
2004-09-01,TOTAL IMPORTACIONES CIF,1058.5,Trimestral,Externo
2004-09-01,TOTAL SIN COMBUSTIBLES,894.7,Trimestral,Externo
2004-12-01,1.  Animales vivos y productos del reino animal.,16.9,Trimestral,Externo
2004-12-01,2.  Productos del reino vegetal.,45.0,Trimestral,Externo
2004-12-01,3.  Grasas y aceítes animales y vegetales.,7.9,Trimestral,Externo
2004-12-01,4.  Productos industrias alimenticias.,94.6,Trimestral,Externo
2004-12-01,5.  Productos minerales.,174.5,Trimestral,Externo
2004-12-01,    5.1 Combustibles y lubricantes,172.0,Trimestral,Externo
2004-12-01,    5.2  Otros productos minerales.,2.5,Trimestral,Externo
2004-12-01,6.  Productos de industrias químicas y conexas,145.2,Trimestral,Externo
2004-12-01,7.  Materiales plásticos artificiales y sus manufacturas.,67.2,Trimestral,Externo
2004-12-01,"8.  Pieles, cueros, peletería y manufacturas.",2.6,Trimestral,Externo
2004-12-01,"9.  Madera, carbón, corcho y sus manufacturas.",4.3,Trimestral,Externo
2004-12-01,10. Materiales para fábricación de papel y artículos de papel.,69.5,Trimestral,Externo
2004-12-01,11. Materiales textiles y sus manufacturas.,40.3,Trimestral,Externo
2004-12-01,"12. Calzado, sombreria, plumas y flores.",12.9,Trimestral,Externo
2004-12-01,"13. Manufacturas de piedra, yeso, cemento y vídrio.",15.4,Trimestral,Externo
2004-12-01,"14. Perlas, piedras preciosas, metales y sus manufacturas.",0.7,Trimestral,Externo
2004-12-01,15. Metales comunes y sus manufacturas.,79.1,Trimestral,Externo
2004-12-01,"16. Máquinas, aparatos y materiales eléctricos.",282.0,Trimestral,Externo
2004-12-01,17. Material de transporte.,70.1,Trimestral,Externo
2004-12-01,"18. Instrumentos de óptica, fotografía, cine, médicos quirúrgicos y otros.",10.1,Trimestral,Externo
2004-12-01,19. Armas y municiones.,0.7,Trimestral,Externo
2004-12-01,20. Mercancías y productos diversos.,24.3,Trimestral,Externo
2004-12-01,21. Objetos de arte y colecciones.,0.1,Trimestral,Externo
2004-12-01,TOTAL IMPORTACIONES CIF,1163.4,Trimestral,Externo
2004-12-01,TOTAL SIN COMBUSTIBLES,991.4,Trimestral,Externo
2005-03-01,1.  Animales vivos y productos del reino animal.,21.0,Trimestral,Externo
2005-03-01,2.  Productos del reino vegetal.,46.6,Trimestral,Externo
2005-03-01,3.  Grasas y aceítes animales y vegetales.,8.8,Trimestral,Externo
2005-03-01,4.  Productos industrias alimenticias.,89.1,Trimestral,Externo
2005-03-01,5.  Productos minerales.,189.6,Trimestral,Externo
2005-03-01,    5.1 Combustibles y lubricantes,185.0,Trimestral,Externo
2005-03-01,    5.2  Otros productos minerales.,4.6,Trimestral,Externo
2005-03-01,6.  Productos de industrias químicas y conexas,142.7,Trimestral,Externo
2005-03-01,7.  Materiales plásticos artificiales y sus manufacturas.,71.3,Trimestral,Externo
2005-03-01,"8.  Pieles, cueros, peletería y manufacturas.",3.2,Trimestral,Externo
2005-03-01,"9.  Madera, carbón, corcho y sus manufacturas.",5.2,Trimestral,Externo
2005-03-01,10. Materiales para fábricación de papel y artículos de papel.,69.8,Trimestral,Externo
