Fechas,Variable,Valores,Periodicidad,Sector
2004-03-01,A.  BIENES DE CONSUMO,230.1,Trimestral,Externo
2004-03-01,   1. No Duraderos,133.5,Trimestral,Externo
2004-03-01,   2. Semiduraderos,96.6,Trimestral,Externo
2004-03-01,"B. COMBUSTIBLES, LUBRICANTES Y ENERGÍA ",144.2,Trimestral,Externo
2004-03-01,C. MATERIAS PRIMAS Y PRODUCTOS INTERMEDIOS ,288.1,Trimestral,Externo
2004-03-01,   1. Para la Agricultura,26.0,Trimestral,Externo
2004-03-01,   2. Para la Industria,262.1,Trimestral,Externo
2004-03-01,D. MATERIALES DE CONSTRUCCIÓN,37.2,Trimestral,Externo
2004-03-01,E. BIENES DE CAPITAL,258.7,Trimestral,Externo
2004-03-01,   1. Para la Agricultura,7.2,Trimestral,Externo
2004-03-01,   2. Para la Industria,204.5,Trimestral,Externo
2004-03-01,   3. Para el Transporte,46.9,Trimestral,Externo
2004-03-01,F. DIVERSOS,30.3,Trimestral,Externo
2004-03-01,TOTAL,988.5,Trimestral,Externo
2004-03-01,TOTAL SIN COMBUSTIBLES,844.3,Trimestral,Externo
2004-06-01,A.  BIENES DE CONSUMO,255.6,Trimestral,Externo
2004-06-01,   1. No Duraderos,149.7,Trimestral,Externo
2004-06-01,   2. Semiduraderos,105.9,Trimestral,Externo
2004-06-01,"B. COMBUSTIBLES, LUBRICANTES Y ENERGÍA ",179.0,Trimestral,Externo
2004-06-01,C. MATERIAS PRIMAS Y PRODUCTOS INTERMEDIOS ,303.2,Trimestral,Externo
2004-06-01,   1. Para la Agricultura,45.2,Trimestral,Externo
2004-06-01,   2. Para la Industria,258.0,Trimestral,Externo
2004-06-01,D. MATERIALES DE CONSTRUCCIÓN,36.6,Trimestral,Externo
2004-06-01,E. BIENES DE CAPITAL,205.5,Trimestral,Externo
2004-06-01,   1. Para la Agricultura,7.3,Trimestral,Externo
2004-06-01,   2. Para la Industria,150.7,Trimestral,Externo
2004-06-01,   3. Para el Transporte,47.5,Trimestral,Externo
2004-06-01,F. DIVERSOS,22.0,Trimestral,Externo
2004-06-01,TOTAL,1002.0,Trimestral,Externo
2004-06-01,TOTAL SIN COMBUSTIBLES,822.9,Trimestral,Externo
2004-09-01,A.  BIENES DE CONSUMO,262.9,Trimestral,Externo
2004-09-01,   1. No Duraderos,149.8,Trimestral,Externo
2004-09-01,   2. Semiduraderos,113.0,Trimestral,Externo
2004-09-01,"B. COMBUSTIBLES, LUBRICANTES Y ENERGÍA ",163.8,Trimestral,Externo
2004-09-01,C. MATERIAS PRIMAS Y PRODUCTOS INTERMEDIOS ,333.8,Trimestral,Externo
2004-09-01,   1. Para la Agricultura,42.2,Trimestral,Externo
2004-09-01,   2. Para la Industria,291.6,Trimestral,Externo
2004-09-01,D. MATERIALES DE CONSTRUCCIÓN,43.4,Trimestral,Externo
2004-09-01,E. BIENES DE CAPITAL,233.0,Trimestral,Externo
2004-09-01,   1. Para la Agricultura,6.5,Trimestral,Externo
2004-09-01,   2. Para la Industria,172.8,Trimestral,Externo
2004-09-01,   3. Para el Transporte,53.7,Trimestral,Externo
2004-09-01,F. DIVERSOS,21.7,Trimestral,Externo
2004-09-01,TOTAL,1058.5,Trimestral,Externo
2004-09-01,TOTAL SIN COMBUSTIBLES,894.7,Trimestral,Externo
2004-12-01,A.  BIENES DE CONSUMO,323.1,Trimestral,Externo
2004-12-01,   1. No Duraderos,171.3,Trimestral,Externo
2004-12-01,   2. Semiduraderos,151.8,Trimestral,Externo
2004-12-01,"B. COMBUSTIBLES, LUBRICANTES Y ENERGÍA ",172.0,Trimestral,Externo
2004-12-01,C. MATERIAS PRIMAS Y PRODUCTOS INTERMEDIOS ,332.3,Trimestral,Externo
2004-12-01,   1. Para la Agricultura,31.4,Trimestral,Externo
2004-12-01,   2. Para la Industria,300.8,Trimestral,Externo
2004-12-01,D. MATERIALES DE CONSTRUCCIÓN,40.8,Trimestral,Externo
2004-12-01,E. BIENES DE CAPITAL,274.0,Trimestral,Externo
2004-12-01,   1. Para la Agricultura,9.3,Trimestral,Externo
2004-12-01,   2. Para la Industria,212.2,Trimestral,Externo
2004-12-01,   3. Para el Transporte,52.5,Trimestral,Externo
2004-12-01,F. DIVERSOS,21.1,Trimestral,Externo
2004-12-01,TOTAL,1163.4,Trimestral,Externo
2004-12-01,TOTAL SIN COMBUSTIBLES,991.4,Trimestral,Externo
2005-03-01,A.  BIENES DE CONSUMO,271.4,Trimestral,Externo
2005-03-01,   1. No Duraderos,160.3,Trimestral,Externo
2005-03-01,   2. Semiduraderos,111.1,Trimestral,Externo
2005-03-01,"B. COMBUSTIBLES, LUBRICANTES Y ENERGÍA ",185.0,Trimestral,Externo
2005-03-01,C. MATERIAS PRIMAS Y PRODUCTOS INTERMEDIOS ,356.1,Trimestral,Externo
2005-03-01,   1. Para la Agricultura,26.9,Trimestral,Externo
2005-03-01,   2. Para la Industria,329.1,Trimestral,Externo
2005-03-01,D. MATERIALES DE CONSTRUCCIÓN,42.8,Trimestral,Externo
