Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,OFERTA GLOBAL,Corrientes,177493.9,Anual,Real
2000-01-01,Valor Agregado Bruto a precios básicos,Corrientes,96535.8,Anual,Real
2000-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,15328.9,Anual,Real
2000-01-01,       Explotación de Minas y Canteras,Corrientes,488.6,Anual,Real
2000-01-01,       Industria Manufacturera,Corrientes,21902.1,Anual,Real
2000-01-01,       Construcción,Corrientes,6244.3,Anual,Real
2000-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,15710.4,Anual,Real
2000-01-01,       Otros Servicios,Corrientes,41106.6,Anual,Real
2000-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,4245.1,Anual,Real
2000-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,10118.3,Anual,Real
2000-01-01,Producto Interno Bruto a precios de mercado,Corrientes,106654.2,Anual,Real
2000-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,70839.7,Anual,Real
2000-01-01,DEMANDA GLOBAL ,Corrientes,177493.8,Anual,Real
2000-01-01,Demanda Interna,Corrientes,119930.2,Anual,Real
2000-01-01,    Gastos de Consumo Final,Corrientes,89759.4,Anual,Real
2000-01-01,       Sector Privado,Corrientes,75458.7,Anual,Real
2000-01-01,       Sector Público,Corrientes,14300.7,Anual,Real
2000-01-01,    Inversión Interna Bruta,Corrientes,30170.800000000003,Anual,Real
2000-01-01,      Formación Bruta de Capital Fijo,Corrientes,27487.4,Anual,Real
2000-01-01,       Sector Privado,Corrientes,21630.4,Anual,Real
2000-01-01,       Sector Público,Corrientes,5857.0,Anual,Real
2000-01-01,     Variación de Existencias,Corrientes,2683.4,Anual,Real
2000-01-01,Demanda  Externa,Corrientes,57563.6,Anual,Real
2000-01-01, Exportación de Bienes y Servicios F.O.B.,Corrientes,57563.6,Anual,Real
2000-01-01,OFERTA GLOBAL,Corrientes,177493.8,Anual,Real
2000-01-01,Valor Agregado Bruto,Corrientes,96535.8,Anual,Real
2000-01-01,"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",Corrientes,15328.9,Anual,Real
2000-01-01,       Explotación de Minas y Canteras,Corrientes,488.6,Anual,Real
2000-01-01,       Industria Manufacturera,Corrientes,21902.1,Anual,Real
2000-01-01,       Construcción,Corrientes,6244.3,Anual,Real
2000-01-01,"       Comercio, Hoteles y Restaurantes",Corrientes,15710.4,Anual,Real
2000-01-01,       Otros Servicios,Corrientes,41106.6,Anual,Real
2000-01-01,  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,Corrientes,4245.1,Anual,Real
2000-01-01, Impuestos  netos de subvenciones sobre la producción y las importaciones,Corrientes,10118.3,Anual,Real
2000-01-01,Producto Interno Bruto a precios de mercado,Corrientes,106654.2,Anual,Real
2000-01-01,       Importaciones de Bienes y Servicios C.I.F.,Corrientes,70839.7,Anual,Real
2000-01-01,DEMANDA GLOBAL ,Corrientes,177493.8,Anual,Real
2000-01-01,Demanda Interna,Corrientes,119930.2,Anual,Real
2000-01-01,    Gastos de Consumo Final,Corrientes,89759.4,Anual,Real
2000-01-01,       Sector Privado,Corrientes,75458.7,Anual,Real
2000-01-01,       Sector Público,Corrientes,14300.7,Anual,Real
2000-01-01,    Inversión Interna Bruta,Corrientes,30170.800000000003,Anual,Real
2000-01-01,      Formación Bruta de Capital Fijo,Corrientes,27487.4,Anual,Real
