Variable,Fechas,Montos,Tipo_Valores,Enfoque
OFERTA GLOBAL,2000,177493.9,Corrientes,missing
Valor Agregado Bruto a precios básicos,2000,96535.8,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2000,15328.9,Corrientes,missing
       Explotación de Minas y Canteras,2000,488.6,Corrientes,missing
       Industria Manufacturera,2000,21902.1,Corrientes,missing
       Construcción,2000,6244.3,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2000,15710.4,Corrientes,missing
       Otros Servicios,2000,41106.6,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2000,4245.1,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2000,10118.3,Corrientes,missing
Producto Interno Bruto a precios de mercado,2000,106654.2,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2000,70839.7,Corrientes,missing
DEMANDA GLOBAL ,2000,177493.8,Corrientes,missing
Demanda Interna,2000,119930.2,Corrientes,missing
    Gastos de Consumo Final,2000,89759.4,Corrientes,missing
       Sector Privado,2000,75458.7,Corrientes,missing
       Sector Público,2000,14300.7,Corrientes,missing
    Inversión Interna Bruta,2000,30170.800000000003,Corrientes,missing
      Formación Bruta de Capital Fijo,2000,27487.4,Corrientes,missing
       Sector Privado,2000,21630.4,Corrientes,missing
       Sector Público,2000,5857.0,Corrientes,missing
     Variación de Existencias,2000,2683.4,Corrientes,missing
Demanda  Externa,2000,57563.6,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2000,57563.6,Corrientes,missing
OFERTA GLOBAL,2000,177493.8,Corrientes,missing
Valor Agregado Bruto,2000,96535.8,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2000,15328.9,Corrientes,missing
       Explotación de Minas y Canteras,2000,488.6,Corrientes,missing
       Industria Manufacturera,2000,21902.1,Corrientes,missing
       Construcción,2000,6244.3,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2000,15710.4,Corrientes,missing
       Otros Servicios,2000,41106.6,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2000,4245.1,Corrientes,missing
