Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,GASTOS DE CONSUMO FINAL,"Enfoque_Gasto, Corrientes",89759.4,Anual,Real
2000-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",75458.7,Anual,Real
2000-01-01,   Sector público,"Enfoque_Gasto, Corrientes",14300.7,Anual,Real
2000-01-01,FORMACION BRUTA DE CAPITAL FIJO,"Enfoque_Gasto, Corrientes",27487.4,Anual,Real
2000-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",21630.4,Anual,Real
2000-01-01,   Sector público,"Enfoque_Gasto, Corrientes",5857.0,Anual,Real
2000-01-01,Variación de existencias,"Enfoque_Gasto, Corrientes",2683.4,Anual,Real
2000-01-01,"Exportación de bienes y servicios,fob","Enfoque_Gasto, Corrientes",57563.6,Anual,Real
2000-01-01,"Menos: importación de bienes y servicios,cif","Enfoque_Gasto, Corrientes",70839.7,Anual,Real
2000-01-01,PRODUCTO INTERNO BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",106654.2,Anual,Real
2000-01-01,Ingresos netos por factores de producción recibidos del resto del mundo,"Enfoque_Gasto, Corrientes",-3305.4,Anual,Real
2000-01-01,Ingresos por factores,"Enfoque_Gasto, Corrientes",2281.4,Anual,Real
2000-01-01,Menos: Pagos por factores,"Enfoque_Gasto, Corrientes",5586.9,Anual,Real
2000-01-01,PRODUCTO NACIONAL BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",103348.8,Anual,Real
2000-01-01,Menos: Impuestos netos de subvenciones sobre la producción y las importaciones.,"Enfoque_Gasto, Corrientes",10118.3,Anual,Real
2000-01-01,Menos: asignación para el consumo de capital fijo,"Enfoque_Gasto, Corrientes",5490.6,Anual,Real
2000-01-01,PRODUCTO NACIONAL NETO = INGRESO NACIONAL,"Enfoque_Gasto, Corrientes",87739.8,Anual,Real
2001-01-01,GASTOS DE CONSUMO FINAL,"Enfoque_Gasto, Corrientes",103233.4,Anual,Real
2001-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",85841.2,Anual,Real
2001-01-01,   Sector público,"Enfoque_Gasto, Corrientes",17392.2,Anual,Real
2001-01-01,FORMACION BRUTA DE CAPITAL FIJO,"Enfoque_Gasto, Corrientes",28345.7,Anual,Real
2001-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",21859.9,Anual,Real
2001-01-01,   Sector público,"Enfoque_Gasto, Corrientes",6485.8,Anual,Real
2001-01-01,Variación de existencias,"Enfoque_Gasto, Corrientes",2443.5,Anual,Real
2001-01-01,"Exportación de bienes y servicios,fob","Enfoque_Gasto, Corrientes",60844.0,Anual,Real
2001-01-01,"Menos: importación de bienes y servicios,cif","Enfoque_Gasto, Corrientes",76450.8,Anual,Real
2001-01-01,PRODUCTO INTERNO BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",118415.7,Anual,Real
2001-01-01,Ingresos netos por factores de producción recibidos del resto del mundo,"Enfoque_Gasto, Corrientes",-3999.5,Anual,Real
2001-01-01,Ingresos por factores,"Enfoque_Gasto, Corrientes",2006.0,Anual,Real
2001-01-01,Menos: Pagos por factores,"Enfoque_Gasto, Corrientes",6005.5,Anual,Real
2001-01-01,PRODUCTO NACIONAL BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",114416.3,Anual,Real
2001-01-01,Menos: Impuestos netos de subvenciones sobre la producción y las importaciones.,"Enfoque_Gasto, Corrientes",11548.8,Anual,Real
2001-01-01,Menos: asignación para el consumo de capital fijo,"Enfoque_Gasto, Corrientes",6048.0,Anual,Real
2001-01-01,PRODUCTO NACIONAL NETO = INGRESO NACIONAL,"Enfoque_Gasto, Corrientes",96819.5,Anual,Real
2002-01-01,GASTOS DE CONSUMO FINAL,"Enfoque_Gasto, Corrientes",114025.5,Anual,Real
2002-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",94682.1,Anual,Real
2002-01-01,   Sector público,"Enfoque_Gasto, Corrientes",19343.4,Anual,Real
2002-01-01,FORMACION BRUTA DE CAPITAL FIJO,"Enfoque_Gasto, Corrientes",27793.6,Anual,Real
2002-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",23425.3,Anual,Real
2002-01-01,   Sector público,"Enfoque_Gasto, Corrientes",4368.2,Anual,Real
2002-01-01,Variación de existencias,"Enfoque_Gasto, Corrientes",3540.2,Anual,Real
2002-01-01,"Exportación de bienes y servicios,fob","Enfoque_Gasto, Corrientes",68110.3,Anual,Real
2002-01-01,"Menos: importación de bienes y servicios,cif","Enfoque_Gasto, Corrientes",84303.0,Anual,Real
2002-01-01,PRODUCTO INTERNO BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",129166.6,Anual,Real
2002-01-01,Ingresos netos por factores de producción recibidos del resto del mundo,"Enfoque_Gasto, Corrientes",-4905.2,Anual,Real
2002-01-01,Ingresos por factores,"Enfoque_Gasto, Corrientes",1508.5,Anual,Real
2002-01-01,Menos: Pagos por factores,"Enfoque_Gasto, Corrientes",6413.7,Anual,Real
2002-01-01,PRODUCTO NACIONAL BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",124261.5,Anual,Real
2002-01-01,Menos: Impuestos netos de subvenciones sobre la producción y las importaciones.,"Enfoque_Gasto, Corrientes",12181.2,Anual,Real
2002-01-01,Menos: asignación para el consumo de capital fijo,"Enfoque_Gasto, Corrientes",6587.9,Anual,Real
2002-01-01,PRODUCTO NACIONAL NETO = INGRESO NACIONAL,"Enfoque_Gasto, Corrientes",105492.3,Anual,Real
2003-01-01,GASTOS DE CONSUMO FINAL,"Enfoque_Gasto, Corrientes",126792.7,Anual,Real
2003-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",105483.1,Anual,Real
2003-01-01,   Sector público,"Enfoque_Gasto, Corrientes",21309.6,Anual,Real
2003-01-01,FORMACION BRUTA DE CAPITAL FIJO,"Enfoque_Gasto, Corrientes",32742.8,Anual,Real
2003-01-01,   Sector privado,"Enfoque_Gasto, Corrientes",25758.4,Anual,Real
2003-01-01,   Sector público,"Enfoque_Gasto, Corrientes",6984.4,Anual,Real
2003-01-01,Variación de existencias,"Enfoque_Gasto, Corrientes",3362.8,Anual,Real
2003-01-01,"Exportación de bienes y servicios,fob","Enfoque_Gasto, Corrientes",77255.9,Anual,Real
2003-01-01,"Menos: importación de bienes y servicios,cif","Enfoque_Gasto, Corrientes",97336.4,Anual,Real
2003-01-01,PRODUCTO INTERNO BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",142817.8,Anual,Real
2003-01-01,Ingresos netos por factores de producción recibidos del resto del mundo,"Enfoque_Gasto, Corrientes",-6361.9,Anual,Real
2003-01-01,Ingresos por factores,"Enfoque_Gasto, Corrientes",1190.0,Anual,Real
2003-01-01,Menos: Pagos por factores,"Enfoque_Gasto, Corrientes",7551.9,Anual,Real
2003-01-01,PRODUCTO NACIONAL BRUTO a  precios de mercado,"Enfoque_Gasto, Corrientes",136455.9,Anual,Real
2003-01-01,Menos: Impuestos netos de subvenciones sobre la producción y las importaciones.,"Enfoque_Gasto, Corrientes",12817.9,Anual,Real
2003-01-01,Menos: asignación para el consumo de capital fijo,"Enfoque_Gasto, Corrientes",7081.2,Anual,Real
2003-01-01,PRODUCTO NACIONAL NETO = INGRESO NACIONAL,"Enfoque_Gasto, Corrientes",116556.9,Anual,Real
