Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",45268.0,Anual,Real
2000-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",11452.8,Anual,Real
2000-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",31574.6,Anual,Real
2000-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",18358.8,Anual,Real
2000-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",106654.2,Anual,Real
2001-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",51915.3,Anual,Real
2001-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",13402.9,Anual,Real
2001-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",34009.8,Anual,Real
2001-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",19087.8,Anual,Real
2001-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",118415.7,Anual,Real
2002-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",57536.2,Anual,Real
2002-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",14236.3,Anual,Real
2002-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",36602.8,Anual,Real
2002-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",20791.3,Anual,Real
2002-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",129166.6,Anual,Real
2003-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",64791.1,Anual,Real
2003-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",15213.9,Anual,Real
2003-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",39818.7,Anual,Real
2003-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",22994.1,Anual,Real
2003-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",142817.8,Anual,Real
2004-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",72273.1,Anual,Real
2004-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",17069.2,Anual,Real
2004-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",46083.3,Anual,Real
2004-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",26081.9,Anual,Real
2004-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",161507.5,Anual,Real
2005-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",81708.9,Anual,Real
2005-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",18992.1,Anual,Real
2005-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",53602.70493110583,Anual,Real
2005-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",29443.946893007804,Anual,Real
2005-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",183747.40000000002,Anual,Real
2006-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",91483.2,Anual,Real
2006-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",21632.2,Anual,Real
2006-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",61283.0,Anual,Real
2006-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",31889.7,Anual,Real
2006-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",206288.0,Anual,Real
2007-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",105306.8,Anual,Real
2007-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",23586.2,Anual,Real
2007-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",68498.3,Anual,Real
2007-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",36176.0,Anual,Real
2007-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",233567.2,Anual,Real
2008-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",120028.7,Anual,Real
2008-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",25075.2,Anual,Real
2008-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",76309.9,Anual,Real
2008-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",41003.0,Anual,Real
2008-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",262416.9,Anual,Real
2009-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",128555.4,Anual,Real
2009-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",25014.7,Anual,Real
2009-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",81002.7,Anual,Real
2009-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",41059.4,Anual,Real
2009-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",275632.2,Anual,Real
2010-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",141175.5,Anual,Real
2010-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",26757.6,Anual,Real
2010-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",85948.4,Anual,Real
2010-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",45404.5,Anual,Real
2010-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",299286.0,Anual,Real
2011-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",156597.1,Anual,Real
2011-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",29384.6,Anual,Real
2011-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",93846.1,Anual,Real
2011-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",55200.0,Anual,Real
2011-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",335027.8,Anual,Real
2012-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",165798.4,Anual,Real
2012-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",31370.2,Anual,Real
2012-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",107217.9,Anual,Real
2012-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",56962.2,Anual,Real
2012-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",361348.5,Anual,Real
2013-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",176734.7,Anual,Real
2013-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",33423.5,Anual,Real
2013-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",110192.5,Anual,Real
2013-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",56188.8,Anual,Real
2013-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",376539.4,Anual,Real
2014-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",188793.2,Anual,Real
2014-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",42845.7,Anual,Real
2014-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",120023.3,Anual,Real
2014-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",62971.2,Anual,Real
2014-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",414633.5,Anual,Real
2015-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",202459.1,Anual,Real
2015-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",48744.0,Anual,Real
2015-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",141493.0,Anual,Real
2015-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",67709.2,Anual,Real
2015-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",460405.2,Anual,Real
2016-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",216705.3,Anual,Real
2016-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",53864.6,Anual,Real
2016-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",153551.1,Anual,Real
2016-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",71800.9,Anual,Real
2016-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",495921.9,Anual,Real
2017-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",233097.4,Anual,Real
2017-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",58079.1,Anual,Real
2017-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",174221.0,Anual,Real
2017-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",78005.6,Anual,Real
2017-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",543403.0,Anual,Real
2018-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",246430.5,Anual,Real
2018-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",63043.8,Anual,Real
2018-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",185352.9,Anual,Real
2018-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",80457.7,Anual,Real
2018-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",575284.9,Anual,Real
2019-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",264198.3,Anual,Real
2019-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",66960.7,Anual,Real
2019-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",197550.5,Anual,Real
2019-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",86208.2,Anual,Real
2019-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",614917.7,Anual,Real
2020-01-01,Remuneración de los asalariados1/,"Enfoque_Ingreso, Corrientes",252432.1,Anual,Real
2020-01-01,Impuestos netos de subvenciones sobre la producción y las importaciones 2/,"Enfoque_Ingreso, Corrientes",58433.7,Anual,Real
2020-01-01,Excedente de Explotación bruto,"Enfoque_Ingreso, Corrientes",192776.2,Anual,Real
2020-01-01,Ingreso Mixto bruto,"Enfoque_Ingreso, Corrientes",82091.6,Anual,Real
2020-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Ingreso, Corrientes",585733.6,Anual,Real
