Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,"Agricultura, Ganadería, Caza, Silvicultura y Pesca ","Enfoque_Produccion, Corrientes",15328.9,Anual,Real
2000-01-01,Explotación de Minas y Canteras,"Enfoque_Produccion, Corrientes",488.6,Anual,Real
2000-01-01,Industrias Manufactureras,"Enfoque_Produccion, Corrientes",21902.1,Anual,Real
2000-01-01,Electricidad y Distribución de Agua,"Enfoque_Produccion, Corrientes",2701.0,Anual,Real
2000-01-01,Construcción,"Enfoque_Produccion, Corrientes",6244.3,Anual,Real
2000-01-01,"Comercio, Reparación de Vehículos Automotores., Motocicletas., Efectos Personales y Enseres Domésticos","Enfoque_Produccion, Corrientes",12981.9,Anual,Real
2000-01-01,Hoteles y Restaurantes,"Enfoque_Produccion, Corrientes",2728.5,Anual,Real
2000-01-01,"Transporte, Almacenamiento","Enfoque_Produccion, Corrientes",4030.4,Anual,Real
2000-01-01,Comunicaciones,"Enfoque_Produccion, Corrientes",4089.6,Anual,Real
2000-01-01,Intermediación Financiera,"Enfoque_Produccion, Corrientes",5083.9,Anual,Real
2000-01-01,Propiedad de Vivienda,"Enfoque_Produccion, Corrientes",5132.1,Anual,Real
2000-01-01,Actividades Inmobiliarias y Empresariales,"Enfoque_Produccion, Corrientes",4259.8,Anual,Real
2000-01-01,Administración Pública y Defensa; Planes de Seguridad Social de Afiliación Obligatoria,"Enfoque_Produccion, Corrientes",5920.7,Anual,Real
2000-01-01,Servicios de Enseñanza,"Enfoque_Produccion, Corrientes",5170.6,Anual,Real
2000-01-01,Servicios Sociales y de Salud,"Enfoque_Produccion, Corrientes",2334.5,Anual,Real
2000-01-01,"Servicios Comunitarios, Sociales y Personales","Enfoque_Produccion, Corrientes",2384.0,Anual,Real
2000-01-01,Menos: Servicios de Intermediación Financiera Medidos Indirectamente,"Enfoque_Produccion, Corrientes",4245.1,Anual,Real
2000-01-01,Valor Agregado Bruto a precios básicos,"Enfoque_Produccion, Corrientes",96535.8,Anual,Real
2000-01-01,Más: Impuestos netos de subvenciones sobre la producción y las importaciones,"Enfoque_Produccion, Corrientes",10118.3,Anual,Real
2000-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Produccion, Corrientes",106654.2,Anual,Real
2001-01-01,"Agricultura, Ganadería, Caza, Silvicultura y Pesca ","Enfoque_Produccion, Corrientes",15590.6,Anual,Real
2001-01-01,Explotación de Minas y Canteras,"Enfoque_Produccion, Corrientes",684.4,Anual,Real
2001-01-01,Industrias Manufactureras,"Enfoque_Produccion, Corrientes",23255.1,Anual,Real
2001-01-01,Electricidad y Distribución de Agua,"Enfoque_Produccion, Corrientes",2412.6,Anual,Real
2001-01-01,Construcción,"Enfoque_Produccion, Corrientes",6443.2,Anual,Real
2001-01-01,"Comercio, Reparación de Vehículos Automotores., Motocicletas., Efectos Personales y Enseres Domésticos","Enfoque_Produccion, Corrientes",14806.8,Anual,Real
2001-01-01,Hoteles y Restaurantes,"Enfoque_Produccion, Corrientes",3185.4,Anual,Real
2001-01-01,"Transporte, Almacenamiento","Enfoque_Produccion, Corrientes",4672.0,Anual,Real
2001-01-01,Comunicaciones,"Enfoque_Produccion, Corrientes",4409.1,Anual,Real
2001-01-01,Intermediación Financiera,"Enfoque_Produccion, Corrientes",5765.1,Anual,Real
2001-01-01,Propiedad de Vivienda,"Enfoque_Produccion, Corrientes",5880.2,Anual,Real
2001-01-01,Actividades Inmobiliarias y Empresariales,"Enfoque_Produccion, Corrientes",4654.3,Anual,Real
2001-01-01,Administración Pública y Defensa; Planes de Seguridad Social de Afiliación Obligatoria,"Enfoque_Produccion, Corrientes",7189.9,Anual,Real
2001-01-01,Servicios de Enseñanza,"Enfoque_Produccion, Corrientes",6537.9,Anual,Real
2001-01-01,Servicios Sociales y de Salud,"Enfoque_Produccion, Corrientes",2969.2,Anual,Real
2001-01-01,"Servicios Comunitarios, Sociales y Personales","Enfoque_Produccion, Corrientes",2712.9,Anual,Real
2001-01-01,Menos: Servicios de Intermediación Financiera Medidos Indirectamente,"Enfoque_Produccion, Corrientes",4301.9,Anual,Real
2001-01-01,Valor Agregado Bruto a precios básicos,"Enfoque_Produccion, Corrientes",106866.9,Anual,Real
2001-01-01,Más: Impuestos netos de subvenciones sobre la producción y las importaciones,"Enfoque_Produccion, Corrientes",11548.8,Anual,Real
2001-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Produccion, Corrientes",118415.7,Anual,Real
2002-01-01,"Agricultura, Ganadería, Caza, Silvicultura y Pesca ","Enfoque_Produccion, Corrientes",15736.9,Anual,Real
2002-01-01,Explotación de Minas y Canteras,"Enfoque_Produccion, Corrientes",717.4,Anual,Real
2002-01-01,Industrias Manufactureras,"Enfoque_Produccion, Corrientes",25694.1,Anual,Real
2002-01-01,Electricidad y Distribución de Agua,"Enfoque_Produccion, Corrientes",2370.5,Anual,Real
2002-01-01,Construcción,"Enfoque_Produccion, Corrientes",6431.9,Anual,Real
2002-01-01,"Comercio, Reparación de Vehículos Automotores., Motocicletas., Efectos Personales y Enseres Domésticos","Enfoque_Produccion, Corrientes",16742.2,Anual,Real
2002-01-01,Hoteles y Restaurantes,"Enfoque_Produccion, Corrientes",3713.1,Anual,Real
2002-01-01,"Transporte, Almacenamiento","Enfoque_Produccion, Corrientes",4791.4,Anual,Real
2002-01-01,Comunicaciones,"Enfoque_Produccion, Corrientes",4479.1,Anual,Real
2002-01-01,Intermediación Financiera,"Enfoque_Produccion, Corrientes",6288.1,Anual,Real
2002-01-01,Propiedad de Vivienda,"Enfoque_Produccion, Corrientes",7119.5,Anual,Real
2002-01-01,Actividades Inmobiliarias y Empresariales,"Enfoque_Produccion, Corrientes",5279.0,Anual,Real
2002-01-01,Administración Pública y Defensa; Planes de Seguridad Social de Afiliación Obligatoria,"Enfoque_Produccion, Corrientes",8007.6,Anual,Real
2002-01-01,Servicios de Enseñanza,"Enfoque_Produccion, Corrientes",7912.4,Anual,Real
2002-01-01,Servicios Sociales y de Salud,"Enfoque_Produccion, Corrientes",3394.9,Anual,Real
2002-01-01,"Servicios Comunitarios, Sociales y Personales","Enfoque_Produccion, Corrientes",3108.3,Anual,Real
2002-01-01,Menos: Servicios de Intermediación Financiera Medidos Indirectamente,"Enfoque_Produccion, Corrientes",4801.1,Anual,Real
2002-01-01,Valor Agregado Bruto a precios básicos,"Enfoque_Produccion, Corrientes",116985.4,Anual,Real
2002-01-01,Más: Impuestos netos de subvenciones sobre la producción y las importaciones,"Enfoque_Produccion, Corrientes",12181.2,Anual,Real
2002-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Produccion, Corrientes",129166.6,Anual,Real
2003-01-01,"Agricultura, Ganadería, Caza, Silvicultura y Pesca ","Enfoque_Produccion, Corrientes",16587.0,Anual,Real
2003-01-01,Explotación de Minas y Canteras,"Enfoque_Produccion, Corrientes",900.4,Anual,Real
2003-01-01,Industrias Manufactureras,"Enfoque_Produccion, Corrientes",28240.8,Anual,Real
2003-01-01,Electricidad y Distribución de Agua,"Enfoque_Produccion, Corrientes",2097.7,Anual,Real
2003-01-01,Construcción,"Enfoque_Produccion, Corrientes",7852.7,Anual,Real
2003-01-01,"Comercio, Reparación de Vehículos Automotores., Motocicletas., Efectos Personales y Enseres Domésticos","Enfoque_Produccion, Corrientes",18322.3,Anual,Real
2003-01-01,Hoteles y Restaurantes,"Enfoque_Produccion, Corrientes",4208.5,Anual,Real
2003-01-01,"Transporte, Almacenamiento","Enfoque_Produccion, Corrientes",5599.8,Anual,Real
2003-01-01,Comunicaciones,"Enfoque_Produccion, Corrientes",5172.9,Anual,Real
2003-01-01,Intermediación Financiera,"Enfoque_Produccion, Corrientes",6930.9,Anual,Real
2003-01-01,Propiedad de Vivienda,"Enfoque_Produccion, Corrientes",8124.4,Anual,Real
2003-01-01,Actividades Inmobiliarias y Empresariales,"Enfoque_Produccion, Corrientes",6145.4,Anual,Real
2003-01-01,Administración Pública y Defensa; Planes de Seguridad Social de Afiliación Obligatoria,"Enfoque_Produccion, Corrientes",8614.5,Anual,Real
2003-01-01,Servicios de Enseñanza,"Enfoque_Produccion, Corrientes",9045.6,Anual,Real
2003-01-01,Servicios Sociales y de Salud,"Enfoque_Produccion, Corrientes",3771.1,Anual,Real
2003-01-01,"Servicios Comunitarios, Sociales y Personales","Enfoque_Produccion, Corrientes",3561.7,Anual,Real
2003-01-01,Menos: Servicios de Intermediación Financiera Medidos Indirectamente,"Enfoque_Produccion, Corrientes",5175.8,Anual,Real
2003-01-01,Valor Agregado Bruto a precios básicos,"Enfoque_Produccion, Corrientes",129999.9,Anual,Real
2003-01-01,Más: Impuestos netos de subvenciones sobre la producción y las importaciones,"Enfoque_Produccion, Corrientes",12817.9,Anual,Real
2003-01-01,Producto Interno Bruto a precios de mercado,"Enfoque_Produccion, Corrientes",142817.8,Anual,Real
2004-01-01,"Agricultura, Ganadería, Caza, Silvicultura y Pesca ","Enfoque_Produccion, Corrientes",19656.6,Anual,Real
2004-01-01,Explotación de Minas y Canteras,"Enfoque_Produccion, Corrientes",1098.8,Anual,Real
2004-01-01,Industrias Manufactureras,"Enfoque_Produccion, Corrientes",30940.4,Anual,Real
2004-01-01,Electricidad y Distribución de Agua,"Enfoque_Produccion, Corrientes",2193.2,Anual,Real
