Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,7188.3,Anual,Real
2000-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1129.8,Anual,Real
2000-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,6965.6,Anual,Real
2000-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1094.8,Anual,Real
2000-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,5913.5,Anual,Real
2000-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,929.4,Anual,Real
2000-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,6363.0,Anual,Real
2001-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,7653.6,Anual,Real
2001-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1171.1,Anual,Real
2001-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,7395.1,Anual,Real
2001-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1131.6,Anual,Real
2001-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,6257.8,Anual,Real
2001-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,957.5,Anual,Real
2001-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,6535.0,Anual,Real
2002-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,7860.7,Anual,Real
2002-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1174.2,Anual,Real
2002-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,7562.2,Anual,Real
2002-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1129.6,Anual,Real
2002-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,6419.9,Anual,Real
2002-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,958.9,Anual,Real
2002-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,6695.0,Anual,Real
2003-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,8232.4,Anual,Real
2003-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1199.9,Anual,Real
2003-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,7865.6,Anual,Real
2003-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1146.5,Anual,Real
2003-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,6718.6,Anual,Real
2003-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,979.3,Anual,Real
2003-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,6861.0,Anual,Real
2004-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,8871.4,Anual,Real
2004-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1262.2,Anual,Real
2004-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,8416.1,Anual,Real
2004-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1197.4,Anual,Real
2004-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,7162.3,Anual,Real
2004-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,1019.1,Anual,Real
2004-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,7028.0,Anual,Real
2005-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,9757.4,Anual,Real
2005-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1355.7,Anual,Real
2005-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,9300.4,Anual,Real
2005-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1292.2,Anual,Real
2005-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,7913.8,Anual,Real
2005-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,1099.5,Anual,Real
2005-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,7197.0,Anual,Real
2006-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,10917.5,Anual,Real
2006-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1481.9,Anual,Real
2006-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,10385.0,Anual,Real
2006-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1409.7,Anual,Real
2006-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,8845.2,Anual,Real
2006-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,1200.6,Anual,Real
2006-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,7367.0,Anual,Real
2007-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,12361.2,Anual,Real
2007-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1640.1,Anual,Real
2007-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,11961.2,Anual,Real
2007-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1587.0,Anual,Real
2007-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,10241.8,Anual,Real
2007-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,1358.9,Anual,Real
2007-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,7537.0,Anual,Real
2008-01-01,  PRODUCTO INTERNO BRUTO (millones de US$),Corrientes,13888.0,Anual,Real
2008-01-01,  PRODUCTO INTERNO BRUTO per cápita (en US$),Corrientes,1802.0,Anual,Real
2008-01-01,  PRODUCTO NACIONAL BRUTO (millones de US$),Corrientes,13480.8,Anual,Real
2008-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en US$),Corrientes,1749.2,Anual,Real
2008-01-01,  INGRESO NACIONAL  (millones de US$),Corrientes,11693.2,Anual,Real
2008-01-01,  INGRESO NACIONAL per cápita (en US$),Corrientes,1517.2,Anual,Real
2008-01-01,POBLACIÓN (Miles de personas) 2/,Corrientes,7707.0,Anual,Real
