Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,106654.2,Anual,Real
2000-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,16762.4,Anual,Real
2000-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,103348.8,Anual,Real
2000-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,16242.9,Anual,Real
2000-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,87739.8,Anual,Real
2000-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,13789.7,Anual,Real
2000-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,6363.0,Anual,Real
2001-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,118415.7,Anual,Real
2001-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,18119.3,Anual,Real
2001-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,114416.3,Anual,Real
2001-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,17507.3,Anual,Real
2001-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,96819.5,Anual,Real
2001-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,14814.800000000001,Anual,Real
2001-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,6535.0,Anual,Real
2002-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,129166.6,Anual,Real
2002-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,19293.7,Anual,Real
2002-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,124261.5,Anual,Real
2002-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,18561.0,Anual,Real
2002-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,105492.3,Anual,Real
2002-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,15757.4,Anual,Real
2002-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,6695.0,Anual,Real
2003-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,142817.8,Anual,Real
2003-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,20816.4,Anual,Real
2003-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,136455.9,Anual,Real
2003-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,19889.1,Anual,Real
2003-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,116556.9,Anual,Real
2003-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,16988.7,Anual,Real
2003-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,6861.0,Anual,Real
2004-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,161507.5,Anual,Real
2004-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,22979.3,Anual,Real
2004-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,153218.7,Anual,Real
2004-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,21800.0,Anual,Real
2004-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,130392.1,Anual,Real
2004-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,18552.2,Anual,Real
2004-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,7028.0,Anual,Real
2005-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,183747.4,Anual,Real
2005-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,25530.0,Anual,Real
2005-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,175141.1,Anual,Real
2005-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,24334.3,Anual,Real
2005-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,149029.0,Anual,Real
2005-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,20706.3,Anual,Real
2005-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,7197.0,Anual,Real
2006-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,206288.0,Anual,Real
2006-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,28001.6,Anual,Real
2006-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,196227.5,Anual,Real
2006-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,26635.9,Anual,Real
2006-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,167132.1,Anual,Real
2006-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,22686.5,Anual,Real
2006-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,7367.0,Anual,Real
2007-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,233567.2,Anual,Real
2007-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,30989.6,Anual,Real
2007-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,226009.1,Anual,Real
2007-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,29986.8,Anual,Real
2007-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,193520.2,Anual,Real
2007-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,25676.2,Anual,Real
2007-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,7537.0,Anual,Real
2008-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,262416.9,Anual,Real
2008-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,34049.6,Anual,Real
2008-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,254721.4,Anual,Real
2008-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,33051.1,Anual,Real
2008-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,220945.0,Anual,Real
2008-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,28668.4,Anual,Real
2008-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,7707.0,Anual,Real
2009-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,275632.2,Anual,Real
2009-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,34993.5,Anual,Real
2009-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,270174.4,Anual,Real
2009-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,34300.7,Anual,Real
2009-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,234029.7,Anual,Real
2009-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,29711.8,Anual,Real
2009-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,7877.0,Anual,Real
2010-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,299286.0,Anual,Real
2010-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,37196.9,Anual,Real
2010-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,285514.0,Anual,Real
2010-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,35485.299999999996,Anual,Real
2010-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,246337.7,Anual,Real
2010-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,30616.2,Anual,Real
2010-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,8046.0,Anual,Real
2011-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,335027.8,Anual,Real
2011-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,40782.4,Anual,Real
2011-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,317216.19999999995,Anual,Real
2011-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,38614.2,Anual,Real
2011-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,275220.29999999993,Anual,Real
2011-01-01,  INGRESO NACIONAL  per cápita (en Lempiras),Corrientes,33502.1,Anual,Real
2011-01-01,POBLACIÓN (Miles de personas) 1/,Corrientes,8215.0,Anual,Real
2012-01-01,  PRODUCTO INTERNO BRUTO (millones de Lempiras),Corrientes,361348.5,Anual,Real
2012-01-01,  PRODUCTO INTERNO BRUTO per cápita (en Lempiras),Corrientes,43094.1,Anual,Real
2012-01-01,  PRODUCTO NACIONAL BRUTO  (millones de Lempiras),Corrientes,336354.8,Anual,Real
2012-01-01,  PRODUCTO NACIONAL BRUTO per cápita (en Lempiras),Corrientes,40113.4,Anual,Real
2012-01-01,  INGRESO NACIONAL   (millones de Lempiras),Corrientes,291337.9,Anual,Real
