Fechas,Variable,Valores,Periodicidad,Sector
2000-01-03,TCN_Diario_Compra,14.5,Diario,Tipo de Cambio
2000-01-04,TCN_Diario_Compra,14.5,Diario,Tipo de Cambio
2000-01-05,TCN_Diario_Compra,14.51,Diario,Tipo de Cambio
2000-01-06,TCN_Diario_Compra,14.51,Diario,Tipo de Cambio
2000-01-07,TCN_Diario_Compra,14.51,Diario,Tipo de Cambio
2000-01-10,TCN_Diario_Compra,14.51,Diario,Tipo de Cambio
2000-01-11,TCN_Diario_Compra,14.51,Diario,Tipo de Cambio
2000-01-12,TCN_Diario_Compra,14.53,Diario,Tipo de Cambio
2000-01-13,TCN_Diario_Compra,14.54,Diario,Tipo de Cambio
2000-01-14,TCN_Diario_Compra,14.54,Diario,Tipo de Cambio
2000-01-17,TCN_Diario_Compra,14.54,Diario,Tipo de Cambio
2000-01-18,TCN_Diario_Compra,14.54,Diario,Tipo de Cambio
2000-01-19,TCN_Diario_Compra,14.55,Diario,Tipo de Cambio
2000-01-20,TCN_Diario_Compra,14.55,Diario,Tipo de Cambio
2000-01-21,TCN_Diario_Compra,14.55,Diario,Tipo de Cambio
2000-01-24,TCN_Diario_Compra,14.55,Diario,Tipo de Cambio
2000-01-25,TCN_Diario_Compra,14.55,Diario,Tipo de Cambio
2000-01-26,TCN_Diario_Compra,14.57,Diario,Tipo de Cambio
2000-01-27,TCN_Diario_Compra,14.57,Diario,Tipo de Cambio
2000-01-28,TCN_Diario_Compra,14.57,Diario,Tipo de Cambio
2000-01-31,TCN_Diario_Compra,14.57,Diario,Tipo de Cambio
2000-02-01,TCN_Diario_Compra,14.57,Diario,Tipo de Cambio
2000-02-02,TCN_Diario_Compra,14.59,Diario,Tipo de Cambio
2000-02-03,TCN_Diario_Compra,14.59,Diario,Tipo de Cambio
2000-02-04,TCN_Diario_Compra,14.6,Diario,Tipo de Cambio
2000-02-07,TCN_Diario_Compra,14.6,Diario,Tipo de Cambio
2000-02-08,TCN_Diario_Compra,14.6,Diario,Tipo de Cambio
2000-02-09,TCN_Diario_Compra,14.62,Diario,Tipo de Cambio
2000-02-10,TCN_Diario_Compra,14.616,Diario,Tipo de Cambio
2000-02-11,TCN_Diario_Compra,14.616,Diario,Tipo de Cambio
2000-02-14,TCN_Diario_Compra,14.6155,Diario,Tipo de Cambio
2000-02-15,TCN_Diario_Compra,14.6166,Diario,Tipo de Cambio
2000-02-16,TCN_Diario_Compra,14.6173,Diario,Tipo de Cambio
2000-02-17,TCN_Diario_Compra,14.6174,Diario,Tipo de Cambio
2000-02-18,TCN_Diario_Compra,14.6174,Diario,Tipo de Cambio
2000-02-21,TCN_Diario_Compra,14.6177,Diario,Tipo de Cambio
2000-02-22,TCN_Diario_Compra,14.6178,Diario,Tipo de Cambio
2000-02-23,TCN_Diario_Compra,14.624,Diario,Tipo de Cambio
2000-02-24,TCN_Diario_Compra,14.6254,Diario,Tipo de Cambio
2000-02-25,TCN_Diario_Compra,14.6244,Diario,Tipo de Cambio
2000-02-28,TCN_Diario_Compra,14.6251,Diario,Tipo de Cambio
2000-02-29,TCN_Diario_Compra,14.6251,Diario,Tipo de Cambio
2000-03-01,TCN_Diario_Compra,14.6291,Diario,Tipo de Cambio
2000-03-02,TCN_Diario_Compra,14.6296,Diario,Tipo de Cambio
2000-03-03,TCN_Diario_Compra,14.6298,Diario,Tipo de Cambio
2000-03-06,TCN_Diario_Compra,14.6298,Diario,Tipo de Cambio
2000-03-07,TCN_Diario_Compra,14.6301,Diario,Tipo de Cambio
2000-03-08,TCN_Diario_Compra,14.6462,Diario,Tipo de Cambio
2000-03-09,TCN_Diario_Compra,14.6455,Diario,Tipo de Cambio
2000-03-10,TCN_Diario_Compra,14.6469,Diario,Tipo de Cambio
2000-03-13,TCN_Diario_Compra,14.6467,Diario,Tipo de Cambio
2000-03-14,TCN_Diario_Compra,14.6454,Diario,Tipo de Cambio
2000-03-15,TCN_Diario_Compra,14.6559,Diario,Tipo de Cambio
2000-03-16,TCN_Diario_Compra,14.6577,Diario,Tipo de Cambio
2000-03-17,TCN_Diario_Compra,14.6575,Diario,Tipo de Cambio
2000-03-20,TCN_Diario_Compra,14.658,Diario,Tipo de Cambio
2000-03-21,TCN_Diario_Compra,14.657,Diario,Tipo de Cambio
2000-03-22,TCN_Diario_Compra,14.6642,Diario,Tipo de Cambio
2000-03-23,TCN_Diario_Compra,14.6655,Diario,Tipo de Cambio
2000-03-24,TCN_Diario_Compra,14.6648,Diario,Tipo de Cambio
2000-03-27,TCN_Diario_Compra,14.6655,Diario,Tipo de Cambio
2000-03-28,TCN_Diario_Compra,14.6658,Diario,Tipo de Cambio
2000-03-29,TCN_Diario_Compra,14.6749,Diario,Tipo de Cambio
2000-03-30,TCN_Diario_Compra,14.6751,Diario,Tipo de Cambio
2000-03-31,TCN_Diario_Compra,14.675,Diario,Tipo de Cambio
2000-04-03,TCN_Diario_Compra,14.6753,Diario,Tipo de Cambio
2000-04-04,TCN_Diario_Compra,14.6757,Diario,Tipo de Cambio
2000-04-05,TCN_Diario_Compra,14.6862,Diario,Tipo de Cambio
2000-04-06,TCN_Diario_Compra,14.6865,Diario,Tipo de Cambio
2000-04-07,TCN_Diario_Compra,14.6861,Diario,Tipo de Cambio
2000-04-10,TCN_Diario_Compra,14.6867,Diario,Tipo de Cambio
2000-04-11,TCN_Diario_Compra,14.6869,Diario,Tipo de Cambio
2000-04-12,TCN_Diario_Compra,14.6969,Diario,Tipo de Cambio
2000-04-13,TCN_Diario_Compra,14.6979,Diario,Tipo de Cambio
2000-04-17,TCN_Diario_Compra,14.698,Diario,Tipo de Cambio
2000-04-18,TCN_Diario_Compra,14.6982,Diario,Tipo de Cambio
2000-04-19,TCN_Diario_Compra,14.6981,Diario,Tipo de Cambio
2000-04-24,TCN_Diario_Compra,14.709,Diario,Tipo de Cambio
2000-04-25,TCN_Diario_Compra,14.7088,Diario,Tipo de Cambio
2000-04-26,TCN_Diario_Compra,14.7102,Diario,Tipo de Cambio
2000-04-27,TCN_Diario_Compra,14.7095,Diario,Tipo de Cambio
2000-04-28,TCN_Diario_Compra,14.7101,Diario,Tipo de Cambio
2000-05-01,TCN_Diario_Compra,14.7901,Diario,Tipo de Cambio
2000-05-02,TCN_Diario_Compra,14.7269,Diario,Tipo de Cambio
2000-05-03,TCN_Diario_Compra,14.7274,Diario,Tipo de Cambio
2000-05-04,TCN_Diario_Compra,14.7276,Diario,Tipo de Cambio
