Fechas,Variable,Valores,Periodicidad,Sector
1996-01-01,TCN_Mensual_Venta,10.58,Mes,Tipo de Cambio
1996-02-01,TCN_Mensual_Venta,10.8,Mes,Tipo de Cambio
1996-03-01,TCN_Mensual_Venta,11.03,Mes,Tipo de Cambio
1996-04-01,TCN_Mensual_Venta,11.18,Mes,Tipo de Cambio
1996-05-01,TCN_Mensual_Venta,11.31,Mes,Tipo de Cambio
1996-06-01,TCN_Mensual_Venta,11.64,Mes,Tipo de Cambio
1996-07-01,TCN_Mensual_Venta,12.11,Mes,Tipo de Cambio
1996-08-01,TCN_Mensual_Venta,12.41,Mes,Tipo de Cambio
1996-09-01,TCN_Mensual_Venta,12.57,Mes,Tipo de Cambio
1996-10-01,TCN_Mensual_Venta,12.71,Mes,Tipo de Cambio
1996-11-01,TCN_Mensual_Venta,12.76,Mes,Tipo de Cambio
1996-12-01,TCN_Mensual_Venta,12.93,Mes,Tipo de Cambio
1997-01-01,TCN_Mensual_Venta,13.08,Mes,Tipo de Cambio
1997-02-01,TCN_Mensual_Venta,12.94,Mes,Tipo de Cambio
1997-03-01,TCN_Mensual_Venta,12.93,Mes,Tipo de Cambio
1997-04-01,TCN_Mensual_Venta,12.97,Mes,Tipo de Cambio
1997-05-01,TCN_Mensual_Venta,13.21,Mes,Tipo de Cambio
1997-06-01,TCN_Mensual_Venta,13.23,Mes,Tipo de Cambio
1997-07-01,TCN_Mensual_Venta,13.24,Mes,Tipo de Cambio
1997-08-01,TCN_Mensual_Venta,13.24,Mes,Tipo de Cambio
1997-09-01,TCN_Mensual_Venta,13.24,Mes,Tipo de Cambio
1997-10-01,TCN_Mensual_Venta,13.25,Mes,Tipo de Cambio
1997-11-01,TCN_Mensual_Venta,13.25,Mes,Tipo de Cambio
1997-12-01,TCN_Mensual_Venta,13.26,Mes,Tipo de Cambio
1998-01-01,TCN_Mensual_Venta,13.27,Mes,Tipo de Cambio
1998-02-01,TCN_Mensual_Venta,13.32,Mes,Tipo de Cambio
1998-03-01,TCN_Mensual_Venta,13.37,Mes,Tipo de Cambio
1998-04-01,TCN_Mensual_Venta,13.36,Mes,Tipo de Cambio
1998-05-01,TCN_Mensual_Venta,13.43,Mes,Tipo de Cambio
1998-06-01,TCN_Mensual_Venta,13.48,Mes,Tipo de Cambio
1998-07-01,TCN_Mensual_Venta,13.53,Mes,Tipo de Cambio
1998-08-01,TCN_Mensual_Venta,13.58,Mes,Tipo de Cambio
1998-09-01,TCN_Mensual_Venta,13.67,Mes,Tipo de Cambio
1998-10-01,TCN_Mensual_Venta,13.73,Mes,Tipo de Cambio
1998-11-01,TCN_Mensual_Venta,13.83,Mes,Tipo de Cambio
1998-12-01,TCN_Mensual_Venta,13.92,Mes,Tipo de Cambio
1999-01-01,TCN_Mensual_Venta,14.0,Mes,Tipo de Cambio
1999-02-01,TCN_Mensual_Venta,14.06,Mes,Tipo de Cambio
1999-03-01,TCN_Mensual_Venta,14.13,Mes,Tipo de Cambio
1999-04-01,TCN_Mensual_Venta,14.19,Mes,Tipo de Cambio
1999-05-01,TCN_Mensual_Venta,14.26,Mes,Tipo de Cambio
1999-06-01,TCN_Mensual_Venta,14.33,Mes,Tipo de Cambio
1999-07-01,TCN_Mensual_Venta,14.39,Mes,Tipo de Cambio
1999-08-01,TCN_Mensual_Venta,14.43,Mes,Tipo de Cambio
1999-09-01,TCN_Mensual_Venta,14.52,Mes,Tipo de Cambio
1999-10-01,TCN_Mensual_Venta,14.56,Mes,Tipo de Cambio
1999-11-01,TCN_Mensual_Venta,14.61,Mes,Tipo de Cambio
1999-12-01,TCN_Mensual_Venta,14.66,Mes,Tipo de Cambio
2000-01-01,TCN_Mensual_Venta,14.717142857142855,Mes,Tipo de Cambio
2000-02-01,TCN_Mensual_Venta,14.786999999999999,Mes,Tipo de Cambio
2000-03-01,TCN_Mensual_Venta,14.825239130434785,Mes,Tipo de Cambio
2000-04-01,TCN_Mensual_Venta,14.871600000000003,Mes,Tipo de Cambio
2000-05-01,TCN_Mensual_Venta,14.940004347826086,Mes,Tipo de Cambio
2000-06-01,TCN_Mensual_Venta,14.97148181818182,Mes,Tipo de Cambio
2000-07-01,TCN_Mensual_Venta,15.027819047619047,Mes,Tipo de Cambio
2000-08-01,TCN_Mensual_Venta,15.080834782608695,Mes,Tipo de Cambio
2000-09-01,TCN_Mensual_Venta,15.154284999999998,Mes,Tipo de Cambio
2000-10-01,TCN_Mensual_Venta,15.212450000000004,Mes,Tipo de Cambio
2000-11-01,TCN_Mensual_Venta,15.26625454545454,Mes,Tipo de Cambio
2000-12-01,TCN_Mensual_Venta,15.3094,Mes,Tipo de Cambio
