Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,PRECIOS CORRIENTES,Corrientes,15328.9,Anual,Real
2000-01-01,Cultivo de Maíz,Corrientes,961.1,Anual,Real
2000-01-01,Cultivo de Fríjol,Corrientes,543.8,Anual,Real
2000-01-01,Cultivo de Sorgo,Corrientes,89.9,Anual,Real
2000-01-01,Cultivo de Arroz en Granza,Corrientes,18.7,Anual,Real
2000-01-01,Cultivo de Palma Africana,Corrientes,801.2,Anual,Real
2000-01-01,Cultivo de Banano,Corrientes,1014.4,Anual,Real
2000-01-01,Cultivo de Café,Corrientes,3483.6,Anual,Real
2000-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,2163.2,Anual,Real
2000-01-01,Cría de Ganado Vacuno,Corrientes,2358.7,Anual,Real
2000-01-01,Actividades de Pesca 2/,Corrientes,817.1,Anual,Real
2000-01-01,Cría de Otros Animales 3/,Corrientes,216.2,Anual,Real
2000-01-01,Cría de Aves de Corral,Corrientes,550.4,Anual,Real
2000-01-01,Silvicultura,Corrientes,766.1,Anual,Real
2000-01-01,Otros Cultivos y Actividades Agrícolas 4/,Corrientes,1544.3,Anual,Real
2001-01-01,PRECIOS CORRIENTES,Corrientes,15590.6,Anual,Real
2001-01-01,Cultivo de Maíz,Corrientes,984.9,Anual,Real
2001-01-01,Cultivo de Fríjol,Corrientes,593.8,Anual,Real
2001-01-01,Cultivo de Sorgo,Corrientes,112.3,Anual,Real
2001-01-01,Cultivo de Arroz en Granza,Corrientes,19.9,Anual,Real
2001-01-01,Cultivo de Palma Africana,Corrientes,761.4,Anual,Real
2001-01-01,Cultivo de Banano,Corrientes,1950.5,Anual,Real
2001-01-01,Cultivo de Café,Corrientes,2054.2,Anual,Real
2001-01-01,"Cultivo de Tubérculos, Hortalizas, Legumbres y Frutas",Corrientes,2347.1,Anual,Real
2001-01-01,Cría de Ganado Vacuno,Corrientes,2549.1,Anual,Real
2001-01-01,Actividades de Pesca 2/,Corrientes,856,Anual,Real
2001-01-01,Cría de Otros Animales 3/,Corrientes,223,Anual,Real
2001-01-01,Cría de Aves de Corral,Corrientes,650,Anual,Real
