Fechas,Variable,Tipo_Valores,Valores,Periodicidad,Sector
2000-01-01,PRECIOS CORRIENTES,Corrientes,21902.1,Anual,Real
2000-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,8845.2,Anual,Real
2000-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,1394.4,Anual,Real
2000-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,700.3,Anual,Real
2000-01-01,Elaboración de otros Productos Alimenticios,Corrientes,4367,Anual,Real
2000-01-01,Elaboración de Bebidas,Corrientes,1773.4,Anual,Real
2000-01-01,Elaboración de Productos de Tabaco,Corrientes,610.1,Anual,Real
2000-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,7127.7,Anual,Real
2000-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,622.6,Anual,Real
2000-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,634.1,Anual,Real
2000-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1176.6,Anual,Real
2000-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1181.4,Anual,Real
2000-01-01,Industrias Metálicas Básicas ,Corrientes,135.1,Anual,Real
2000-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,1397.2,Anual,Real
2000-01-01,Muebles2/,Corrientes,655.1,Anual,Real
2000-01-01,Otras Industrias Manufactureras,Corrientes,127.1,Anual,Real
2001-01-01,PRECIOS CORRIENTES,Corrientes,23255.1,Anual,Real
2001-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,9135.1,Anual,Real
2001-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,1541.7,Anual,Real
2001-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,796.9,Anual,Real
2001-01-01,Elaboración de otros Productos Alimenticios,Corrientes,4368.1,Anual,Real
2001-01-01,Elaboración de Bebidas,Corrientes,1864.8,Anual,Real
2001-01-01,Elaboración de Productos de Tabaco,Corrientes,563.6,Anual,Real
2001-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,7213.5,Anual,Real
2001-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,678.9,Anual,Real
2001-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,779.3,Anual,Real
2001-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1171.4,Anual,Real
2001-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1332.7,Anual,Real
2001-01-01,Industrias Metálicas Básicas ,Corrientes,624.8,Anual,Real
2001-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,1475.3,Anual,Real
2001-01-01,Muebles2/,Corrientes,714.8,Anual,Real
2001-01-01,Otras Industrias Manufactureras,Corrientes,129.4,Anual,Real
2002-01-01,PRECIOS CORRIENTES,Corrientes,25694.1,Anual,Real
2002-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,10261.099999999999,Anual,Real
2002-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,1793.3,Anual,Real
2002-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,840.8,Anual,Real
2002-01-01,Elaboración de otros Productos Alimenticios,Corrientes,4865.8,Anual,Real
2002-01-01,Elaboración de Bebidas,Corrientes,2140.9,Anual,Real
2002-01-01,Elaboración de Productos de Tabaco,Corrientes,620.3,Anual,Real
2002-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,8332.4,Anual,Real
2002-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,661,Anual,Real
2002-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,863.3,Anual,Real
2002-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1109.6,Anual,Real
2002-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1381.1,Anual,Real
2002-01-01,Industrias Metálicas Básicas ,Corrientes,727.1,Anual,Real
2002-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,1540.3,Anual,Real
2002-01-01,Muebles2/,Corrientes,673.1,Anual,Real
2002-01-01,Otras Industrias Manufactureras,Corrientes,145.2,Anual,Real
2003-01-01,PRECIOS CORRIENTES,Corrientes,28240.8,Anual,Real
2003-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,11020.4,Anual,Real
2003-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2006.4,Anual,Real
2003-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,866.1,Anual,Real
2003-01-01,Elaboración de otros Productos Alimenticios,Corrientes,5238.7,Anual,Real
2003-01-01,Elaboración de Bebidas,Corrientes,2164.3,Anual,Real
2003-01-01,Elaboración de Productos de Tabaco,Corrientes,744.9,Anual,Real
2003-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,9824,Anual,Real
2003-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,673.9,Anual,Real
2003-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,834.1,Anual,Real
2003-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1219.6,Anual,Real
2003-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1476.5,Anual,Real
2003-01-01,Industrias Metálicas Básicas ,Corrientes,565.9,Anual,Real
2003-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,1838.8,Anual,Real
2003-01-01,Muebles2/,Corrientes,605.9,Anual,Real
2003-01-01,Otras Industrias Manufactureras,Corrientes,181.7,Anual,Real
2004-01-01,PRECIOS CORRIENTES,Corrientes,30940.4,Anual,Real
2004-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,11863.699999999999,Anual,Real
2004-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2186.5,Anual,Real
2004-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,983.5,Anual,Real
2004-01-01,Elaboración de otros Productos Alimenticios,Corrientes,5771.8,Anual,Real
2004-01-01,Elaboración de Bebidas,Corrientes,2185.5,Anual,Real
2004-01-01,Elaboración de Productos de Tabaco,Corrientes,736.4,Anual,Real
2004-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,11022.7,Anual,Real
2004-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,717.9,Anual,Real
2004-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,799.5,Anual,Real
2004-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1092.6,Anual,Real
2004-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1588.2,Anual,Real
2004-01-01,Industrias Metálicas Básicas ,Corrientes,903.8,Anual,Real
2004-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,2142.3,Anual,Real
2004-01-01,Muebles2/,Corrientes,612.6,Anual,Real
2004-01-01,Otras Industrias Manufactureras,Corrientes,197,Anual,Real
2005-01-01,PRECIOS CORRIENTES,Corrientes,35066.3,Anual,Real
2005-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,12935.8,Anual,Real
2005-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2410.4,Anual,Real
2005-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,1111.3,Anual,Real
2005-01-01,Elaboración de otros Productos Alimenticios,Corrientes,6319.5,Anual,Real
2005-01-01,Elaboración de Bebidas,Corrientes,2328.3,Anual,Real
2005-01-01,Elaboración de Productos de Tabaco,Corrientes,766.3,Anual,Real
2005-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,12628.3,Anual,Real
2005-01-01,Producción de Madera y Fabricación de Productos de Madera,Corrientes,882.7,Anual,Real
2005-01-01,"Fabricación de Papel y Productos de Papel, Actividades de Edición e Impresión",Corrientes,951.1,Anual,Real
2005-01-01,"Fabricación de Sustancias y Productos Químicos, Derivados del Petróleo, Productos de Caucho y Plástico",Corrientes,1470.1,Anual,Real
2005-01-01,Fabricación de Productos de Vidrio y Otros Minerales no Metálicos ,Corrientes,1719.9,Anual,Real
2005-01-01,Industrias Metálicas Básicas ,Corrientes,775.2,Anual,Real
2005-01-01,"Fabricación de Productos Metálicos, Maquinaria y Equipo",Corrientes,2705.3,Anual,Real
2005-01-01,Muebles2/,Corrientes,770.6,Anual,Real
2005-01-01,Otras Industrias Manufactureras,Corrientes,227.4,Anual,Real
2006-01-01,PRECIOS CORRIENTES,Corrientes,39133.1,Anual,Real
2006-01-01,"Productos Alimenticios, Bebidas y Tabaco",Corrientes,14379.199999999999,Anual,Real
2006-01-01,"Producción, Procesamiento y Conservación de Carne y Pescado",Corrientes,2624.4,Anual,Real
2006-01-01,Elaboración de Productos de Molineria y Alimentos Preparados para Animales,Corrientes,1023.8,Anual,Real
2006-01-01,Elaboración de otros Productos Alimenticios,Corrientes,6860.3,Anual,Real
2006-01-01,Elaboración de Bebidas,Corrientes,3046.4,Anual,Real
2006-01-01,Elaboración de Productos de Tabaco,Corrientes,824.3,Anual,Real
2006-01-01,"Fabricación de Productos Textiles, Cuero y Calzado",Corrientes,13389,Anual,Real
