Concepto,Fechas,Monto
1. BIENES,2000-01-01,80526.7
    EXPORTACIONES DE MERCANCÍAS,2000-01-01,22243.9
      ANTICIPOS POR EXPORTACIONES,2000-01-01,30153.4
      PROCESAMIENTO Y MAQUILADO,2000-01-01,28129.4
2. SERVICIOS,2000-01-01,40618.9
     TRANSPORTE,2000-01-01,480.6
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-01-01,322.9
     GASTOS DE VIAJERO,2000-01-01,8689.6
     SERVICIOS DEL GOBIERNO,2000-01-01,8464.2
     OTROS SERVICIOS,2000-01-01,22661.6
          FINANCIEROS,2000-01-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-01-01,0.0
          OTROS,2000-01-01,22661.6
3. RENTA DE LA INVERSIÓN,2000-01-01,7175.6
4. TRANSFERENCIAS,2000-01-01,23165.9
     REMESAS FAMILIARES,2000-01-01,20135.5
     OTRAS,2000-01-01,3030.4
5. MOVIMIENTOS DE CAPITAL,2000-01-01,61338.700000000004
     INVERSIÓN EXTRANJERA,2000-01-01,123.3
          Inversión Directa,2000-01-01,0.0
          Inversión de Cartera,2000-01-01,123.3
     PRÉSTAMOS,2000-01-01,50566.0
           Público,2000-01-01,4244.7
           Privado,2000-01-01,38354.0
           Bancario,2000-01-01,7967.3
    OTRAS ENTRADAS DE CAPITAL,2000-01-01,10649.4
    INVERSIÓN BONOS CADD,2000-01-01,0.0
    TOTAL INGRESOS,2000-01-01,212825.80000000002
1. BIENES,2000-02-01,87348.1
    EXPORTACIONES DE MERCANCÍAS,2000-02-01,21658.5
      ANTICIPOS POR EXPORTACIONES,2000-02-01,35215.3
      PROCESAMIENTO Y MAQUILADO,2000-02-01,30474.3
2. SERVICIOS,2000-02-01,41973.9
     TRANSPORTE,2000-02-01,522.5
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-02-01,547.6
     GASTOS DE VIAJERO,2000-02-01,11037.2
     SERVICIOS DEL GOBIERNO,2000-02-01,7630.3
     OTROS SERVICIOS,2000-02-01,22236.3
          FINANCIEROS,2000-02-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-02-01,0.0
          OTROS,2000-02-01,22236.3
3. RENTA DE LA INVERSIÓN,2000-02-01,5720.9
4. TRANSFERENCIAS,2000-02-01,29676.3
     REMESAS FAMILIARES,2000-02-01,27312.4
     OTRAS,2000-02-01,2363.9
5. MOVIMIENTOS DE CAPITAL,2000-02-01,77967.3
     INVERSIÓN EXTRANJERA,2000-02-01,533.1
          Inversión Directa,2000-02-01,0.0
          Inversión de Cartera,2000-02-01,533.1
     PRÉSTAMOS,2000-02-01,62479.0
           Público,2000-02-01,13775.6
           Privado,2000-02-01,33647.1
           Bancario,2000-02-01,15056.3
    OTRAS ENTRADAS DE CAPITAL,2000-02-01,14955.2
    INVERSIÓN BONOS CADD,2000-02-01,0.0
    TOTAL INGRESOS,2000-02-01,242686.5
1. BIENES,2000-03-01,91479.3
    EXPORTACIONES DE MERCANCÍAS,2000-03-01,23681.7
      ANTICIPOS POR EXPORTACIONES,2000-03-01,33196.0
      PROCESAMIENTO Y MAQUILADO,2000-03-01,34601.6
2. SERVICIOS,2000-03-01,46225.3
     TRANSPORTE,2000-03-01,695.9
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-03-01,206.3
     GASTOS DE VIAJERO,2000-03-01,14218.8
     SERVICIOS DEL GOBIERNO,2000-03-01,8148.7
     OTROS SERVICIOS,2000-03-01,22955.6
          FINANCIEROS,2000-03-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-03-01,0.0
          OTROS,2000-03-01,22955.6
3. RENTA DE LA INVERSIÓN,2000-03-01,7927.5
4. TRANSFERENCIAS,2000-03-01,33541.2
     REMESAS FAMILIARES,2000-03-01,29644.3
     OTRAS,2000-03-01,3896.9
5. MOVIMIENTOS DE CAPITAL,2000-03-01,120670.8
     INVERSIÓN EXTRANJERA,2000-03-01,19949.8
          Inversión Directa,2000-03-01,19949.8
          Inversión de Cartera,2000-03-01,0.0
     PRÉSTAMOS,2000-03-01,70812.7
           Público,2000-03-01,5677.3
           Privado,2000-03-01,57131.5
           Bancario,2000-03-01,8003.9
    OTRAS ENTRADAS DE CAPITAL,2000-03-01,29908.3
    INVERSIÓN BONOS CADD,2000-03-01,0.0
    TOTAL INGRESOS,2000-03-01,299844.1
1. BIENES,2000-04-01,70919.5
    EXPORTACIONES DE MERCANCÍAS,2000-04-01,21664.4
      ANTICIPOS POR EXPORTACIONES,2000-04-01,17605.7
      PROCESAMIENTO Y MAQUILADO,2000-04-01,31649.4
2. SERVICIOS,2000-04-01,39430.0
     TRANSPORTE,2000-04-01,393.4
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-04-01,1170.9
     GASTOS DE VIAJERO,2000-04-01,10683.8
     SERVICIOS DEL GOBIERNO,2000-04-01,4100.2
     OTROS SERVICIOS,2000-04-01,23081.7
          FINANCIEROS,2000-04-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-04-01,0.0
          OTROS,2000-04-01,23081.7
3. RENTA DE LA INVERSIÓN,2000-04-01,8980.9
4. TRANSFERENCIAS,2000-04-01,29116.5
     REMESAS FAMILIARES,2000-04-01,26070.6
     OTRAS,2000-04-01,3045.9
5. MOVIMIENTOS DE CAPITAL,2000-04-01,54520.0
     INVERSIÓN EXTRANJERA,2000-04-01,7942.7
          Inversión Directa,2000-04-01,7637.2
          Inversión de Cartera,2000-04-01,305.5
     PRÉSTAMOS,2000-04-01,29926.6
           Público,2000-04-01,4883.0
           Privado,2000-04-01,21424.0
           Bancario,2000-04-01,3619.6
    OTRAS ENTRADAS DE CAPITAL,2000-04-01,16650.7
    INVERSIÓN BONOS CADD,2000-04-01,0.0
    TOTAL INGRESOS,2000-04-01,202966.9
1. BIENES,2000-05-01,79668.0
    EXPORTACIONES DE MERCANCÍAS,2000-05-01,23637.7
      ANTICIPOS POR EXPORTACIONES,2000-05-01,22526.6
      PROCESAMIENTO Y MAQUILADO,2000-05-01,33503.7
2. SERVICIOS,2000-05-01,52030.7
     TRANSPORTE,2000-05-01,376.4
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-05-01,686.6
     GASTOS DE VIAJERO,2000-05-01,12830.9
     SERVICIOS DEL GOBIERNO,2000-05-01,5423.3
     OTROS SERVICIOS,2000-05-01,32713.5
          FINANCIEROS,2000-05-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-05-01,0.0
          OTROS,2000-05-01,32713.5
3. RENTA DE LA INVERSIÓN,2000-05-01,10751.5
4. TRANSFERENCIAS,2000-05-01,40697.8
     REMESAS FAMILIARES,2000-05-01,34251.2
     OTRAS,2000-05-01,6446.6
5. MOVIMIENTOS DE CAPITAL,2000-05-01,38829.2
     INVERSIÓN EXTRANJERA,2000-05-01,30.0
          Inversión Directa,2000-05-01,30.0
          Inversión de Cartera,2000-05-01,0.0
     PRÉSTAMOS,2000-05-01,25323.3
           Público,2000-05-01,8252.5
           Privado,2000-05-01,13964.2
           Bancario,2000-05-01,3106.6
    OTRAS ENTRADAS DE CAPITAL,2000-05-01,13475.9
    INVERSIÓN BONOS CADD,2000-05-01,0.0
    TOTAL INGRESOS,2000-05-01,221977.2
1. BIENES,2000-06-01,94504.9
    EXPORTACIONES DE MERCANCÍAS,2000-06-01,21415.3
      ANTICIPOS POR EXPORTACIONES,2000-06-01,24071.9
      PROCESAMIENTO Y MAQUILADO,2000-06-01,49017.7
2. SERVICIOS,2000-06-01,45543.7
     TRANSPORTE,2000-06-01,285.8
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-06-01,711.7
     GASTOS DE VIAJERO,2000-06-01,11350.3
     SERVICIOS DEL GOBIERNO,2000-06-01,8993.2
     OTROS SERVICIOS,2000-06-01,24202.7
          FINANCIEROS,2000-06-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-06-01,0.0
          OTROS,2000-06-01,24202.7
3. RENTA DE LA INVERSIÓN,2000-06-01,5841.4
4. TRANSFERENCIAS,2000-06-01,29859.3
     REMESAS FAMILIARES,2000-06-01,26595.2
     OTRAS,2000-06-01,3264.1
5. MOVIMIENTOS DE CAPITAL,2000-06-01,48279.5
     INVERSIÓN EXTRANJERA,2000-06-01,2000.0
          Inversión Directa,2000-06-01,2000.0
          Inversión de Cartera,2000-06-01,0.0
     PRÉSTAMOS,2000-06-01,29656.0
           Público,2000-06-01,8779.8
           Privado,2000-06-01,17089.3
           Bancario,2000-06-01,3786.9
    OTRAS ENTRADAS DE CAPITAL,2000-06-01,16623.5
    INVERSIÓN BONOS CADD,2000-06-01,0.0
    TOTAL INGRESOS,2000-06-01,224028.79999999996
1. BIENES,2000-07-01,69746.0
    EXPORTACIONES DE MERCANCÍAS,2000-07-01,20038.0
      ANTICIPOS POR EXPORTACIONES,2000-07-01,17206.3
      PROCESAMIENTO Y MAQUILADO,2000-07-01,32501.7
2. SERVICIOS,2000-07-01,44491.2
     TRANSPORTE,2000-07-01,235.6
     SEGUROS (PRIMAS E INDEMNIZACIONES),2000-07-01,362.3
     GASTOS DE VIAJERO,2000-07-01,13167.1
     SERVICIOS DEL GOBIERNO,2000-07-01,7543.4
     OTROS SERVICIOS,2000-07-01,23182.8
          FINANCIEROS,2000-07-01,0.0
          EMPRESARIALES Y PROFESIONALES,2000-07-01,0.0
          OTROS,2000-07-01,23182.8
3. RENTA DE LA INVERSIÓN,2000-07-01,7846.9
4. TRANSFERENCIAS,2000-07-01,31727.7
     REMESAS FAMILIARES,2000-07-01,27622.3
     OTRAS,2000-07-01,4105.4
5. MOVIMIENTOS DE CAPITAL,2000-07-01,53826.399999999994
     INVERSIÓN EXTRANJERA,2000-07-01,2059.4
          Inversión Directa,2000-07-01,2059.4
          Inversión de Cartera,2000-07-01,0.0
     PRÉSTAMOS,2000-07-01,36008.7
           Público,2000-07-01,26663.2
           Privado,2000-07-01,7705.2
           Bancario,2000-07-01,1640.3
    OTRAS ENTRADAS DE CAPITAL,2000-07-01,15758.3
    INVERSIÓN BONOS CADD,2000-07-01,0.0
    TOTAL INGRESOS,2000-07-01,207638.19999999998
1. BIENES,2000-08-01,85260.1
    EXPORTACIONES DE MERCANCÍAS,2000-08-01,29819.5
      ANTICIPOS POR EXPORTACIONES,2000-08-01,17288.1
      PROCESAMIENTO Y MAQUILADO,2000-08-01,38152.5
2. SERVICIOS,2000-08-01,50154.1
